name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as,name_mbfc,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
detroit free press,https://www.allsides.com/news-source/detroit-free-press,left-center,117.0,184.0,0.635869565182833,disagree,detroit free press,https://mediabiasfactcheck.com/detroit-free-press/,left-center,high,united states,"1,876,495"
detroit news,https://www.allsides.com/news-source/detroit-news,center,60.0,98.0,0.61224489789671,disagree,detroit news,https://mediabiasfactcheck.com/detroit-news/,right-center,high,united states,"1,594,957"
drudge report,https://www.allsides.com/news-source/drudge-report,right-center,2028.0,1379.0,1.47063089194002,somewhat agree,drudge report,https://mediabiasfactcheck.com/drudge-report/,questionable sources,low,united states,"5,523,022"
fivethirtyeight,https://www.allsides.com/news-source/fivethirtyeight-0,center,3528.0,2226.0,1.58490566037024,agree,fivethirtyeight,https://mediabiasfactcheck.com/fivethirtyeight/,left-center,high,united states,"2,341,886"
forbes,https://www.allsides.com/news-source/forbes,center,5744.0,3321.0,1.7295995182122,agree,forbes,https://mediabiasfactcheck.com/forbes/,right-center,mostly factual,united states,"6,223,025"
foreign affairs,https://www.allsides.com/news-source/foreign-affairs,center,882.0,493.0,1.78904665310773,agree,foreign affairs,https://mediabiasfactcheck.com/foreign-affairs/,center,high,united states,"1,345,506"
foreign policy,https://www.allsides.com/news-source/foreign-policy-media-bias,center,80.0,80.0,0.999999999875,,foreign policy,https://mediabiasfactcheck.com/foreign-policy/,center,high,united states,"944,030"
frontpage magazine,https://www.allsides.com/news-source/frontpage-magazine,right,509.0,395.0,1.28860759490409,somewhat agree,frontpage magazine,https://mediabiasfactcheck.com/frontpage-magazine/,questionable sources,low,united states,"1,802,704"
grist,https://www.allsides.com/news-source/grist,left-center,461.0,511.0,0.902152641861015,somewhat disagree,grist,https://mediabiasfactcheck.com/grist/,left-center,high,united states,"966,297"
heavy,https://www.allsides.com/news-source/heavycom-media-bias,center,31.0,30.0,1.0333333329888899,somewhat agree,heavy,https://mediabiasfactcheck.com/heavy/,left-center,high,united states,"535,119"
honolulu civil beat,https://www.allsides.com/news-source/honolulu-civil-beat,center,329.0,447.0,0.736017897075257,somewhat disagree,honolulu civil beat,https://mediabiasfactcheck.com/honolulu-civil-beat/,left-center,high,united states,297
houston chronicle,https://www.allsides.com/news-source/houston-chronicle-media-bias,center,31.0,20.0,1.549999999225,agree,houston chronicle,https://mediabiasfactcheck.com/houston-chronicle/,left-center,high,united states,"78,792"
idaho statesman,https://www.allsides.com/news-source/idaho-statesman-media-bias,center,49.0,44.0,1.11363636338326,somewhat agree,idaho statesman,https://mediabiasfactcheck.com/idaho-statesman/,center,high,united states,"1,337,755"
independent journal review,https://www.allsides.com/news-source/independent-journal-review,right-center,1200.0,1108.0,1.08303249096496,somewhat agree,independent journal review,https://mediabiasfactcheck.com/independent-journal-review/,right,high,united states,"307,407"
infowars,https://www.allsides.com/news-source/infowars,right,4332.0,1012.0,4.2806324110249,absolutely agree,infowars,https://mediabiasfactcheck.com/infowars-alex-jones/,conspiracy-pseudoscience,very low,united states,"5,200,579"
inside philanthropy,https://www.allsides.com/news-source/inside-philanthropy,center,294.0,325.0,0.90461538458755,somewhat disagree,inside philanthropy,https://mediabiasfactcheck.com/inside-philanthropy/,left-center,high,united states,"2,002"
international business times,https://www.allsides.com/news-source/international-business-times,center,1006.0,769.0,1.30819245772031,somewhat agree,international business times,https://mediabiasfactcheck.com/international-business-times/,left-center,mixed,united states,"1,111,703"
jacobin,https://www.allsides.com/news-source/jacobin-media-bias,left,594.0,150.0,3.9599999997359996,absolutely agree,jacobin,https://mediabiasfactcheck.com/jacobin/,left,high,united states,"261,479"
jezebel,https://www.allsides.com/news-source/jezebel-media-bias,left,150.0,63.0,2.38095238057445,strongly agree,jezebel,https://mediabiasfactcheck.com/jezebel/,left,mixed,united states,"10,228,853"
judicial watch,https://www.allsides.com/news-source/judicial-watch,right-center,1078.0,1194.0,0.902847571181718,somewhat disagree,judicial watch,https://mediabiasfactcheck.com/judicial-watch/,questionable sources,low,united states,"466,469"
las vegas sun,https://www.allsides.com/news-source/las-vegas-sun,left-center,282.0,288.0,0.979166666632668,somewhat disagree,las vegas sun,https://mediabiasfactcheck.com/las-vegas-sun/,left-center,mostly factual,united states,"318,891"
lifehacker,https://www.allsides.com/news-source/lifehacker,center,324.0,308.0,1.0519480519139,somewhat agree,lifehacker,https://mediabiasfactcheck.com/lifehacker/,left-center,high,united states,"11,635,150"
marketwatch,https://www.allsides.com/news-source/marketwatch-media-bias,right-center,143.0,264.0,0.541666666646149,disagree,marketwatch,https://mediabiasfactcheck.com/marketwatch/,right-center,high,united states,"8,938,881"
mashable,https://www.allsides.com/news-source/mashable,left,428.0,188.0,2.27659574455976,strongly agree,mashable,https://mediabiasfactcheck.com/mashable/,left,mostly factual,united states,"4,260,645"
media matters,https://www.allsides.com/news-source/media-matters-bias,left,2551.0,1575.0,1.61968253967226,agree,media matters,https://mediabiasfactcheck.com/media-matters/,left,high,united states,"2,291,747"
mediaite,https://www.allsides.com/news-source/mediaite-bias,left-center,704.0,712.0,0.988764044929933,somewhat disagree,mediaite,https://mediabiasfactcheck.com/mediaite/,left,high,united states,"1,198,894"
miami herald,https://www.allsides.com/news-source/miami-herald,left-center,305.0,328.0,0.9298780487521379,somewhat disagree,miami herald,https://mediabiasfactcheck.com/miami-herald/,left-center,high,united states,"3,399,326"
mother jones,https://www.allsides.com/news-source/mother-jones-bias,left,7464.0,1340.0,5.57014925368978,absolutely agree,mother jones,https://mediabiasfactcheck.com/mother-jones/,left-center,high,united states,"2,183,123"
msnbc,https://www.allsides.com/news-source/msnbc,left,8189.0,2658.0,3.0808878856167,absolutely agree,msnbc,https://mediabiasfactcheck.com/msnbc/,left,mixed,united states,"9,472,862"
national journal,https://www.allsides.com/news-source/national-journal,center,974.0,713.0,1.3660589060117,somewhat agree,national journal,https://mediabiasfactcheck.com/national-journal/,center,high,united states,"813,548"
national review,https://www.allsides.com/news-source/national-review,right,11198.0,5057.0,2.21435633774528,strongly agree,national review,https://mediabiasfactcheck.com/national-review/,right,mostly factual,united states,"3,922,194"
new republic,https://www.allsides.com/news-source/new-republic,left,1377.0,741.0,1.8582995951166201,agree,new republic,https://mediabiasfactcheck.com/new-republic/,left,high,united states,"1,672,937"
new york daily news,https://www.allsides.com/news-source/new-york-daily-news,left,1120.0,515.0,2.17475728151117,strongly agree,new york daily news,https://mediabiasfactcheck.com/new-york-daily-news/,left-center,mixed,united states,"3,686,344"
new york magazine,https://www.allsides.com/news-source/new-york-magazine,left,1850.0,869.0,2.1288837744289,strongly agree,new york magazine,https://mediabiasfactcheck.com/new-york-magazine/,left,high,united states,"7,128,454"
new york post,https://www.allsides.com/news-source/new-york-post,right,5172.0,3418.0,1.51316559391014,agree,new york post,https://mediabiasfactcheck.com/new-york-post/,right-center,mixed,united states,"7,322,756"
newsbusters,https://www.allsides.com/news-source/newsbusters,right,339.0,196.0,1.7295918366464498,agree,newsbusters,https://mediabiasfactcheck.com/newsbusters/,right,mixed,united states,"2,542,784"
newsone,https://www.allsides.com/news-source/newsonecom-media-bias,left,74.0,50.0,1.479999999704,somewhat agree,newsone,https://mediabiasfactcheck.com/newsone/,left,mostly factual,united states,"156,933"
newsweek,https://www.allsides.com/news-source/newsweek,left-center,2274.0,2725.0,0.834495412840974,somewhat disagree,newsweek,https://mediabiasfactcheck.com/newsweek/,left,mixed,united states,"4,019,228"
one america news network,https://www.allsides.com/news-source/one-america-news-network-media-bias,right-center,610.0,622.0,0.980707395482625,somewhat disagree,one america news network,https://mediabiasfactcheck.com/one-america-news-network/,right,mixed,,"315,564"
orange county register,https://www.allsides.com/news-source/orange-county-register,right-center,275.0,234.0,1.17521367516345,somewhat agree,orange county register,https://mediabiasfactcheck.com/orange-county-register/,right-center,high,united states,"1,179,747"
peacock panache,https://www.allsides.com/news-source/peacock-panache,left,185.0,100.0,1.849999999815,agree,peacock panache,https://mediabiasfactcheck.com/peacock-panache/,left,mixed,united states,"36,330"
phys,https://www.allsides.com/news-source/physorg,center,125.0,71.0,1.76056338003372,agree,phys,https://mediabiasfactcheck.com/phys-org/,pro-science,high,united kingdom,"1,977,989"
pittsburgh post-gazette,https://www.allsides.com/news-source/pittsburgh-post-gazette,right-center,242.0,292.0,0.828767123259289,somewhat disagree,pittsburgh post-gazette,https://mediabiasfactcheck.com/pittsburgh-post-gazette/,right-center,high,united states,"1,705,481"
pj media,https://www.allsides.com/news-source/pj-media,right,256.0,140.0,1.82857142844082,agree,pj media,https://mediabiasfactcheck.com/pj-media/,questionable sources,mixed,united states,"2,277,048"
pj media,https://www.allsides.com/news-source/pj-media-media-bias,right-center,194.0,169.0,1.14792899401492,somewhat agree,pj media,https://mediabiasfactcheck.com/pj-media/,questionable sources,mixed,united states,"2,277,048"
politico,https://www.allsides.com/news-source/politico-media-bias,left-center,15682.0,23129.0,0.678023260841075,somewhat disagree,politico,https://mediabiasfactcheck.com/politico/,center,high,united states,"3,882,511"
politicususa,https://www.allsides.com/news-source/politicususa,left,894.0,313.0,2.85623003185763,strongly agree,politicususa,https://mediabiasfactcheck.com/politicususa/,left,mixed,united states,"547,536"
politifact,https://www.allsides.com/news-source/politifact,left-center,2252.0,2599.0,0.866487110423754,somewhat disagree,politifact,https://mediabiasfactcheck.com/politifact/,center,high,united states,"1,382,237"
project veritas,https://www.allsides.com/news-source/project-veritas-media-bias,right-center,128.0,136.0,0.941176470519031,somewhat disagree,project veritas,https://mediabiasfactcheck.com/project-veritas/,right,mixed,united states,"128,262"
propublica,https://www.allsides.com/news-source/propublica,center,1045.0,717.0,1.45746164572584,somewhat agree,propublica,https://mediabiasfactcheck.com/propublica/,left-center,high,united states,"1,994,243"
psychology today,https://www.allsides.com/news-source/psychology-today-media-bias,center,10.0,1.0,9.9999999,absolutely agree,psychology today,https://mediabiasfactcheck.com/psychology-today/,pro-science,high,united states,"180,409"
quartz,https://www.allsides.com/news-source/quartz,center,568.0,539.0,1.05380333949807,somewhat agree,quartz,https://mediabiasfactcheck.com/quartz/,left-center,high,united states,"816,997"
quillette,https://www.allsides.com/news-source/quillette-media-bias,right-center,362.0,585.0,0.618803418792841,disagree,quillette,https://mediabiasfactcheck.com/quillette/,questionable sources,mixed,australia,"350,196"
rasmussen reports,https://www.allsides.com/news-source/rasmussen-reports,center,519.0,740.0,0.701351351341874,somewhat disagree,rasmussen reports,https://mediabiasfactcheck.com/rasmussen-reports/,right-center,high,united states,"707,528"
raw story,https://www.allsides.com/news-source/raw-story,left,704.0,385.0,1.82857142852393,agree,raw story,https://mediabiasfactcheck.com/raw-story/,left,mixed,united states,"2,401,668"
reason,https://www.allsides.com/news-source/reason,right-center,5973.0,3925.0,1.52178343948657,agree,reason,https://mediabiasfactcheck.com/reason/,right-center,high,united states,"2,279,682"
reuters,https://www.allsides.com/news-source/reuters,center,8609.0,5245.0,1.64137273593586,agree,reuters,https://mediabiasfactcheck.com/reuters/,center,very high,united kingdom,"23,475,755"
right side news,https://www.allsides.com/news-source/right-side-news,right,452.0,234.0,1.93162393154138,agree,right side news,https://mediabiasfactcheck.com/right-wing-news/,questionable sources,low,,"2,109,646"
right wing news,https://www.allsides.com/news-source/right-wing-news,right,403.0,196.0,2.05612244887469,strongly agree,right wing news,https://mediabiasfactcheck.com/south-jersey-mechanic-trump-news/,questionable sources,low,united states,1
roll call,https://www.allsides.com/news-source/roll-call-media-bias,center,148.0,141.0,1.04964538999648,somewhat agree,roll call,https://mediabiasfactcheck.com/roll-call/,center,very high,united states,"2,390,580"
salon,https://www.allsides.com/news-source/salon,left,11108.0,5045.0,2.20178394449514,strongly agree,salon,https://mediabiasfactcheck.com/salon/,left,high,united states,"2,970,380"
san francisco chronicle,https://www.allsides.com/news-source/san-francisco-chronicle,left,921.0,339.0,2.71681415921189,strongly agree,san francisco chronicle,https://mediabiasfactcheck.com/san-francisco-chronicle/,left-center,high,united states,"1,502,415"
san jose mercury news,https://www.allsides.com/news-source/san-jose-mercury-news,left-center,382.0,421.0,0.907363420406001,somewhat disagree,san jose mercury news,https://mediabiasfactcheck.com/san-jose-mercury-news/,left-center,high,united states,"1,457,611"
science daily,https://www.allsides.com/news-source/science-daily,center,464.0,289.0,1.6055363321243799,agree,science daily,https://mediabiasfactcheck.com/science-daily/,pro-science,very high,united states,"1,810,919"
scientific american,https://www.allsides.com/news-source/scientific-american,center,1073.0,557.0,1.9263913823711598,agree,scientific american,https://mediabiasfactcheck.com/scientific-american/,pro-science,high,united states,"1,708,847"
sfgate,https://www.allsides.com/news-source/sf-gate,left-center,434.0,494.0,0.878542510103673,somewhat disagree,sfgate,https://mediabiasfactcheck.com/sfgate/,left-center,high,united states,"3,423,720"
slate,https://www.allsides.com/news-source/slate,left,4477.0,2673.0,1.6748971193353,agree,slate,https://mediabiasfactcheck.com/slate/,left,high,united states,"3,020,176"
snopes,https://www.allsides.com/news-source/snopes,center,281.0,582.0,0.482817869407512,strongly disagree,snopes,https://mediabiasfactcheck.com/snopes/,center,high,united states,"3,686,779"
splinter,https://www.allsides.com/news-source/splinter-media-bias,left,204.0,76.0,2.6842105259626,strongly agree,splinter,https://mediabiasfactcheck.com/splinter/,left,mixed,united states,"605,675"
techcrunch,https://www.allsides.com/news-source/techcrunch-media-bias,center,412.0,269.0,1.53159851295422,agree,techcrunch,https://mediabiasfactcheck.com/techcrunch/,left-center,high,united states,"6,330,407"
teen vogue,https://www.allsides.com/news-source/teen-vogue,left-center,327.0,484.0,0.675619834696785,somewhat disagree,teen vogue,https://mediabiasfactcheck.com/teen-vogue/,left,mostly factual,united states,"70,543"
the american conservative,https://www.allsides.com/news-source/american-conservative-media-bias,right-center,218.0,237.0,0.919831223589881,somewhat disagree,the american conservative,https://mediabiasfactcheck.com/the-american-conservative/,right-center,high,united states,"1,631,341"
the college fix,https://www.allsides.com/news-source/college-fix,right,175.0,148.0,1.18243243235254,somewhat agree,the college fix,https://mediabiasfactcheck.com/the-college-fix/,right,mixed,,"432,033"
the courier-journal,https://www.allsides.com/news-source/courier-journal,left-center,137.0,233.0,0.58798283259279,disagree,the courier-journal,https://mediabiasfactcheck.com/the-courier-journal/,left-center,high,united states,"1,028,462"
the daily wire,https://www.allsides.com/news-source/daily-wire,right,3924.0,1753.0,2.23844837420286,strongly agree,the daily wire,https://mediabiasfactcheck.com/the-daily-wire/,right,mixed,united states,"430,582"
the dispatch,https://www.allsides.com/news-source/dispatch-media-bias,right-center,4.0,4.0,0.9999999975,,the dispatch,https://mediabiasfactcheck.com/the-dispatch/,right-center,high,united states,0
the economist,https://www.allsides.com/news-source/economist,left-center,2254.0,4304.0,0.523698884757148,disagree,the economist,https://mediabiasfactcheck.com/the-economist/,center,high,united kingdom,"7,175,952"
the epoch times,https://www.allsides.com/news-source/epoch-times-media-bias,right,2460.0,805.0,3.05590062108005,absolutely agree,the epoch times,https://mediabiasfactcheck.com/the-epoch-times/,right,mixed,united states,"1,665,637"
the federalist,https://www.allsides.com/news-source/federalist,right,3539.0,1510.0,2.3437086092559998,strongly agree,the federalist,https://mediabiasfactcheck.com/the-federalist/,right,mixed,united states,"789,391"
the flip side,https://www.allsides.com/news-source/flip-side-media-bias,allsides,306.0,241.0,1.26970954351578,somewhat agree,the flip side,https://mediabiasfactcheck.com/the-flip-side/,center,high,united states,0
the gateway pundit,https://www.allsides.com/news-source/gateway-pundit,right,572.0,398.0,1.43718592961213,somewhat agree,the gateway pundit,https://mediabiasfactcheck.com/the-gateway-pundit/,questionable sources,low,united states,"1,400,349"
the guardian,https://www.allsides.com/news-source/guardian,left-center,7386.0,4628.0,1.59593777009162,agree,the guardian,https://mediabiasfactcheck.com/the-guardian/,left-center,high,united kingdom,"8,715,772"
the hill,https://www.allsides.com/news-source/hill-media-bias,center,8959.0,11455.0,0.782103884765795,somewhat disagree,the hill,https://mediabiasfactcheck.com/the-hill/,right-center,mostly factual,united states,"2,663,933"
the independent,https://www.allsides.com/news-source/independent-0,left-center,195.0,173.0,1.12716762999265,somewhat agree,the independent,https://mediabiasfactcheck.com/the-independent/,left-center,high,united kingdom,"8,236,344"
the intercept,https://www.allsides.com/news-source/intercept,left,1939.0,845.0,2.2946745561858597,strongly agree,the intercept,https://mediabiasfactcheck.com/the-intercept/,left-center,high,united states,"1,059,871"
the libertarian republic,https://www.allsides.com/news-source/libertarian-republic,right-center,829.0,679.0,1.22091310749306,somewhat agree,the libertarian republic,https://mediabiasfactcheck.com/the-libertarian-republic/,right-center,high,united states,"61,834"
the nation,https://www.allsides.com/news-source/nation-media-bias,left,1099.0,372.0,2.9543010751894,strongly agree,the nation,https://mediabiasfactcheck.com/the-nation/,left,high,united states,"3,425,379"
the national pulse,https://www.allsides.com/news-source/national-pulse-media-bias,right,10.0,8.0,1.2499999984375,somewhat agree,the national pulse,https://mediabiasfactcheck.com/the-national-pulse/,questionable sources,low,,80
the post millennial,https://www.allsides.com/news-source/post-millennial-media-bias,right-center,135.0,85.0,1.5882352939308,agree,the post millennial,https://mediabiasfactcheck.com/the-post-millennial/,right,mostly factual,canada,"11,394"
the resurgent,https://www.allsides.com/news-source/resurgent-media-bias,right,77.0,61.0,1.26229508176028,somewhat agree,the resurgent,https://mediabiasfactcheck.com/the-resurgent/,right,mixed,,"141,652"
the root,https://www.allsides.com/news-source/root,left-center,288.0,371.0,0.776280323429211,somewhat disagree,the root,https://mediabiasfactcheck.com/the-root/,left,high,united states,"10,043,862"
the texas observer,https://www.allsides.com/news-source/texas-observer-media-bias,left-center,44.0,44.0,0.999999999772727,,the texas observer,https://mediabiasfactcheck.com/the-texas-observer/,left,high,united states,"87,017"
the verge,https://www.allsides.com/news-source/verge,left-center,558.0,376.0,1.48404255315202,somewhat agree,the verge,https://mediabiasfactcheck.com/the-verge/,left-center,high,united states,"2,862,457"
time magazine,https://www.allsides.com/news-source/time-magazine-news-media-bias,left-center,5179.0,4310.0,1.20162412992761,somewhat agree,time magazine,https://mediabiasfactcheck.com/time/,left-center,high,united states,"5,985,276"
townhall,https://www.allsides.com/news-source/townhall-bias,right,9073.0,13830.0,0.656037599421073,disagree,townhall,https://mediabiasfactcheck.com/townhall/,right,mixed,united states,"3,500,480"
truthdig,https://www.allsides.com/news-source/truthdig-media-bias,left,64.0,34.0,1.88235294062284,agree,truthdig,https://mediabiasfactcheck.com/truthdig/,left,high,united states,"2,005,299"
truthout,https://www.allsides.com/news-source/truthout,left-center,337.0,358.0,0.94134078209661,somewhat disagree,truthout,https://mediabiasfactcheck.com/truth-out/,left,mixed,united states,"2,909,288"
upworthy,https://www.allsides.com/news-source/upworthy,left,436.0,311.0,1.40192926040508,somewhat agree,upworthy,https://mediabiasfactcheck.com/upworthy/,left,high,united states,"107,186"
usa today,https://www.allsides.com/news-source/usa-today-media-bias,center,13333.0,11372.0,1.1724410833616101,somewhat agree,usa today,https://mediabiasfactcheck.com/usa-today-2/,left-center,high,united states,"16,253,014"
vanity fair,https://www.allsides.com/news-source/vanity-fair,left-center,3441.0,2246.0,1.53205699019799,agree,vanity fair,https://mediabiasfactcheck.com/vanity-fair/,left,mostly factual,united states,"1,640,670"
virginia mercury,https://www.allsides.com/news-source/virginia-mercury-media-bias,center,8.0,18.0,0.444444444197531,strongly disagree,virginia mercury,https://mediabiasfactcheck.com/virginia-mercury/,left-center,high,united states,"1,627"
vox,https://www.allsides.com/news-source/vox-news-media-bias,left,15869.0,12981.0,1.22247900777966,somewhat agree,vox,https://mediabiasfactcheck.com/vox/,left,mostly factual,united states,"8,056,806"
