name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as,orig_name_as,unique_id_as,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc,orig_name_mbfc,unique_id_mbfc,name_mbfc
democracy now,https://www.allsides.com/news-source/democracy-now,left,6920,2093,3.3062589584170700,absolutely agree,democracy now,74.0,https://mediabiasfactcheck.com/democracy-now/,left,high,united states,"2,483,056",democracy now,1573.0,democracy now
des moines register,https://www.allsides.com/news-source/desmoines-register,center,90,105,0.8571428570612250,somewhat disagree,des moines register,75.0,https://mediabiasfactcheck.com/the-des-moines-register/,center,high,united states,"1,259,246",des moines register,2283.0,des moines register
deseret news,https://www.allsides.com/news-source/deseret-news,right-center,1100,1745,0.6303724928330640,disagree,deseret news,76.0,https://mediabiasfactcheck.com/deseret-news/,right-center,high,united states,"145,928",deseret news,1578.0,deseret news
detroit free press,https://www.allsides.com/news-source/detroit-free-press,left-center,117,184,0.6358695651828330,disagree,detroit free press,77.0,https://mediabiasfactcheck.com/detroit-free-press/,left-center,high,united states,"1,876,495",detroit free press,1581.0,detroit free press
detroit news,https://www.allsides.com/news-source/detroit-news,center,60,98,0.6122448978967100,disagree,detroit news,78.0,https://mediabiasfactcheck.com/detroit-news/,right-center,high,united states,"1,594,957",detroit news,1582.0,detroit news
drudge report,https://www.allsides.com/news-source/drudge-report,right-center,2028,1379,1.4706308919400200,somewhat agree,drudge report,80.0,https://mediabiasfactcheck.com/drudge-report/,questionable sources,low,united states,"5,523,022",drudge report,144.0,drudge report
fivethirtyeight,https://www.allsides.com/news-source/fivethirtyeight-0,center,3528,2226,1.5849056603702400,agree,fivethirtyeight,92.0,https://mediabiasfactcheck.com/fivethirtyeight/,left-center,high,united states,"2,341,886",fivethirtyeight,1650.0,fivethirtyeight
forbes,https://www.allsides.com/news-source/forbes,center,5744,3321,1.7295995182122000,agree,forbes,93.0,https://mediabiasfactcheck.com/forbes/,right-center,mostly factual,united states,"6,223,025",forbes,1242.0,forbes
foreign affairs,https://www.allsides.com/news-source/foreign-affairs,center,882,493,1.7890466531077300,agree,foreign affairs,94.0,https://mediabiasfactcheck.com/foreign-affairs/,center,high,united states,"1,345,506",foreign affairs,1652.0,foreign affairs
foreign policy,https://www.allsides.com/news-source/foreign-policy-media-bias,center,80,80,0.999999999875,nan,foreign policy,95.0,https://mediabiasfactcheck.com/foreign-policy/,center,high,united states,"944,030",foreign policy,1655.0,foreign policy
frontpage magazine,https://www.allsides.com/news-source/frontpage-magazine,right,509,395,1.2886075949040900,somewhat agree,frontpage magazine,99.0,https://mediabiasfactcheck.com/frontpage-magazine/,questionable sources,low,united states,"1,802,704",frontpage magazine,178.0,frontpage magazine
grist,https://www.allsides.com/news-source/grist,left-center,461,511,0.9021526418610150,somewhat disagree,grist,103.0,https://mediabiasfactcheck.com/grist/,left-center,high,united states,"966,297",grist,1706.0,grist
heavy,https://www.allsides.com/news-source/heavycom-media-bias,center,31,30,1.033333332988890,somewhat agree,heavy.com,106.0,https://mediabiasfactcheck.com/heavy/,left-center,high,united states,"535,119",heavy,1723.0,heavy
honolulu civil beat,https://www.allsides.com/news-source/honolulu-civil-beat,center,329,447,0.7360178970752570,somewhat disagree,honolulu civil beat,108.0,https://mediabiasfactcheck.com/honolulu-civil-beat/,left-center,high,united states,297,honolulu civil beat,1738.0,honolulu civil beat
houston chronicle,https://www.allsides.com/news-source/houston-chronicle-media-bias,center,31,20,1.5499999992250000,agree,houston chronicle,110.0,https://mediabiasfactcheck.com/houston-chronicle/,left-center,high,united states,"78,792",houston chronicle,1741.0,houston chronicle
idaho statesman,https://www.allsides.com/news-source/idaho-statesman-media-bias,center,49,44,1.1136363633832600,somewhat agree,idaho statesman,114.0,https://mediabiasfactcheck.com/idaho-statesman/,center,high,united states,"1,337,755",idaho statesman,1750.0,idaho statesman
independent journal review,https://www.allsides.com/news-source/independent-journal-review,right-center,1200,1108,1.083032490964960,somewhat agree,independent journal review,116.0,https://mediabiasfactcheck.com/independent-journal-review/,right,high,united states,"307,407",independent journal review,1758.0,independent journal review
infowars,https://www.allsides.com/news-source/infowars,right,4332,1012,4.280632411024900,absolutely agree,infowars,120.0,https://mediabiasfactcheck.com/infowars-alex-jones/,conspiracy-pseudoscience,very low,united states,"5,200,579",infowars,221.0,infowars
inside philanthropy,https://www.allsides.com/news-source/inside-philanthropy,center,294,325,0.9046153845875500,somewhat disagree,inside philanthropy,121.0,https://mediabiasfactcheck.com/inside-philanthropy/,left-center,high,united states,"2,002",inside philanthropy,1775.0,inside philanthropy
international business times,https://www.allsides.com/news-source/international-business-times,center,1006,769,1.3081924577203100,somewhat agree,international business times,123.0,https://mediabiasfactcheck.com/international-business-times/,left-center,mixed,united states,"1,111,703",international business times,919.0,international business times
jacobin,https://www.allsides.com/news-source/jacobin-media-bias,left,594,150,3.959999999736,absolutely agree,jacobin,126.0,https://mediabiasfactcheck.com/jacobin/,left,high,united states,"261,479",jacobin,1797.0,jacobin
jezebel,https://www.allsides.com/news-source/jezebel-media-bias,left,150,63,2.3809523805744500,strongly agree,jezebel,127.0,https://mediabiasfactcheck.com/jezebel/,left,mixed,united states,"10,228,853",jezebel,930.0,jezebel
judicial watch,https://www.allsides.com/news-source/judicial-watch,right-center,1078,1194,0.9028475711817180,somewhat disagree,judicial watch,130.0,https://mediabiasfactcheck.com/judicial-watch/,questionable sources,low,united states,"466,469",judicial watch,230.0,judicial watch
las vegas sun,https://www.allsides.com/news-source/las-vegas-sun,left-center,282,288,0.9791666666326680,somewhat disagree,las vegas sun,134.0,https://mediabiasfactcheck.com/las-vegas-sun/,left-center,mostly factual,united states,"318,891",las vegas sun,1256.0,las vegas sun
lifehacker,https://www.allsides.com/news-source/lifehacker,center,324,308,1.0519480519139000,somewhat agree,lifehacker,137.0,https://mediabiasfactcheck.com/lifehacker/,left-center,high,united states,"11,635,150",lifehacker,1857.0,lifehacker
marketwatch,https://www.allsides.com/news-source/marketwatch-media-bias,right-center,143,264,0.5416666666461490,disagree,marketwatch,143.0,https://mediabiasfactcheck.com/marketwatch/,right-center,high,united states,"8,938,881",marketwatch,1875.0,marketwatch
mashable,https://www.allsides.com/news-source/mashable,left,428,188,2.276595744559760,strongly agree,mashable,144.0,https://mediabiasfactcheck.com/mashable/,left,mostly factual,united states,"4,260,645",mashable,1260.0,mashable
media matters,https://www.allsides.com/news-source/media-matters-bias,left,2551,1575,1.6196825396722600,agree,media matters,146.0,https://mediabiasfactcheck.com/media-matters/,left,high,united states,"2,291,747",media matters,1877.0,media matters
mediaite,https://www.allsides.com/news-source/mediaite-bias,left-center,704,712,0.9887640449299330,somewhat disagree,mediaite,148.0,https://mediabiasfactcheck.com/mediaite/,left,high,united states,"1,198,894",mediaite,1879.0,mediaite
miami herald,https://www.allsides.com/news-source/miami-herald,left-center,305,328,0.929878048752138,somewhat disagree,miami herald,149.0,https://mediabiasfactcheck.com/miami-herald/,left-center,high,united states,"3,399,326",miami herald,1896.0,miami herald
mother jones,https://www.allsides.com/news-source/mother-jones-bias,left,7464,1340,5.5701492536897800,absolutely agree,mother jones,154.0,https://mediabiasfactcheck.com/mother-jones/,left-center,high,united states,"2,183,123",mother jones,1916.0,mother jones
msnbc,https://www.allsides.com/news-source/msnbc,left,8189,2658,3.0808878856167000,absolutely agree,msnbc,155.0,https://mediabiasfactcheck.com/msnbc/,left,mixed,united states,"9,472,862",msnbc,979.0,msnbc
national journal,https://www.allsides.com/news-source/national-journal,center,974,713,1.366058906011700,somewhat agree,national journal,157.0,https://mediabiasfactcheck.com/national-journal/,center,high,united states,"813,548",national journal,1936.0,national journal
national review,https://www.allsides.com/news-source/national-review,right,11198,5057,2.2143563377452800,strongly agree,national review,158.0,https://mediabiasfactcheck.com/national-review/,right,mostly factual,united states,"3,922,194",national review,1262.0,national review
new republic,https://www.allsides.com/news-source/new-republic,left,1377,741,1.858299595116620,agree,new republic,162.0,https://mediabiasfactcheck.com/new-republic/,left,high,united states,"1,672,937",new republic,1962.0,new republic
new york daily news,https://www.allsides.com/news-source/new-york-daily-news,left,1120,515,2.174757281511170,strongly agree,new york daily news,163.0,https://mediabiasfactcheck.com/new-york-daily-news/,left-center,mixed,united states,"3,686,344",new york daily news,992.0,new york daily news
new york magazine,https://www.allsides.com/news-source/new-york-magazine,left,1850,869,2.1288837744289000,strongly agree,new york magazine,164.0,https://mediabiasfactcheck.com/new-york-magazine/,left,high,united states,"7,128,454",new york magazine,1967.0,new york magazine
new york post,https://www.allsides.com/news-source/new-york-post,right,5172,3418,1.5131655939101400,agree,new york post,165.0,https://mediabiasfactcheck.com/new-york-post/,right-center,mixed,united states,"7,322,756",new york post,993.0,new york post
newsbusters,https://www.allsides.com/news-source/newsbusters,right,339,196,1.729591836646450,agree,newsbusters,168.0,https://mediabiasfactcheck.com/newsbusters/,right,mixed,united states,"2,542,784",newsbusters,997.0,newsbusters
newsone,https://www.allsides.com/news-source/newsonecom-media-bias,left,74,50,1.479999999704,somewhat agree,newsone,171.0,https://mediabiasfactcheck.com/newsone/,left,mostly factual,united states,"156,933",newsone,1267.0,newsone
newsweek,https://www.allsides.com/news-source/newsweek,left-center,2274,2725,0.8344954128409740,somewhat disagree,newsweek,172.0,https://mediabiasfactcheck.com/newsweek/,left,mixed,united states,"4,019,228",newsweek,1004.0,newsweek
one america news network,https://www.allsides.com/news-source/one-america-news-network-media-bias,right-center,610,622,0.9807073954826250,somewhat disagree,one america news network,178.0,https://mediabiasfactcheck.com/one-america-news-network/,right,mixed,nan,"315,564",one america news network,1018.0,one america news network
orange county register,https://www.allsides.com/news-source/orange-county-register,right-center,275,234,1.1752136751634500,somewhat agree,orange county register,179.0,https://mediabiasfactcheck.com/orange-county-register/,right-center,high,united states,"1,179,747",orange county register,2006.0,orange county register
peacock panache,https://www.allsides.com/news-source/peacock-panache,left,185,100,1.849999999815,agree,peacock panache,182.0,https://mediabiasfactcheck.com/peacock-panache/,left,mixed,united states,"36,330",peacock panache,1033.0,peacock panache
phys,https://www.allsides.com/news-source/physorg,center,125,71,1.7605633800337200,agree,phys.org,183.0,https://mediabiasfactcheck.com/phys-org/,pro-science,high,united kingdom,"1,977,989",phys.org,2034.0,phys
pittsburgh post-gazette,https://www.allsides.com/news-source/pittsburgh-post-gazette,right-center,242,292,0.8287671232592890,somewhat disagree,pittsburgh post-gazette,184.0,https://mediabiasfactcheck.com/pittsburgh-post-gazette/,right-center,high,united states,"1,705,481",pittsburgh post-gazette,2036.0,pittsburgh post-gazette
pj media,https://www.allsides.com/news-source/pj-media,right,256,140,1.8285714284408200,agree,pj media,185.0,https://mediabiasfactcheck.com/pj-media/,questionable sources,mixed,united states,"2,277,048",pj media,316.0,pj media
pj media,https://www.allsides.com/news-source/pj-media-media-bias,right-center,194,169,1.147928994014920,somewhat agree,pj media,186.0,https://mediabiasfactcheck.com/pj-media/,questionable sources,mixed,united states,"2,277,048",pj media,316.0,pj media
politico,https://www.allsides.com/news-source/politico-media-bias,left-center,15682,23129,0.6780232608410750,somewhat disagree,politico,187.0,https://mediabiasfactcheck.com/politico/,center,high,united states,"3,882,511",politico,2044.0,politico
politicususa,https://www.allsides.com/news-source/politicususa,left,894,313,2.8562300318576300,strongly agree,politicususa,188.0,https://mediabiasfactcheck.com/politicususa/,left,mixed,united states,"547,536",politicususa,1039.0,politicususa
politifact,https://www.allsides.com/news-source/politifact,left-center,2252,2599,0.8664871104237540,somewhat disagree,politifact,189.0,https://mediabiasfactcheck.com/politifact/,center,high,united states,"1,382,237",politifact,2046.0,politifact
project veritas,https://www.allsides.com/news-source/project-veritas-media-bias,right-center,128,136,0.9411764705190310,somewhat disagree,project veritas,194.0,https://mediabiasfactcheck.com/project-veritas/,right,mixed,united states,"128,262",project veritas,1049.0,project veritas
propublica,https://www.allsides.com/news-source/propublica,center,1045,717,1.4574616457258400,somewhat agree,propublica,195.0,https://mediabiasfactcheck.com/propublica/,left-center,high,united states,"1,994,243",propublica,2064.0,propublica
psychology today,https://www.allsides.com/news-source/psychology-today-media-bias,center,10,1,9.999999900000000,absolutely agree,psychology today,196.0,https://mediabiasfactcheck.com/psychology-today/,pro-science,high,united states,"180,409",psychology today,2067.0,psychology today
quartz,https://www.allsides.com/news-source/quartz,center,568,539,1.053803339498070,somewhat agree,quartz,198.0,https://mediabiasfactcheck.com/quartz/,left-center,high,united states,"816,997",quartz,2073.0,quartz
quillette,https://www.allsides.com/news-source/quillette-media-bias,right-center,362,585,0.6188034187928410,disagree,quillette,199.0,https://mediabiasfactcheck.com/quillette/,questionable sources,mixed,australia,"350,196",quillette,344.0,quillette
rasmussen reports,https://www.allsides.com/news-source/rasmussen-reports,center,519,740,0.7013513513418740,somewhat disagree,rasmussen reports,200.0,https://mediabiasfactcheck.com/rasmussen-reports/,right-center,high,united states,"707,528",rasmussen reports,2082.0,rasmussen reports
raw story,https://www.allsides.com/news-source/raw-story,left,704,385,1.8285714285239300,agree,raw story,201.0,https://mediabiasfactcheck.com/raw-story/,left,mixed,united states,"2,401,668",raw story,1056.0,raw story
reason,https://www.allsides.com/news-source/reason,right-center,5973,3925,1.5217834394865700,agree,reason,203.0,https://mediabiasfactcheck.com/reason/,right-center,high,united states,"2,279,682",reason,2093.0,reason
reuters,https://www.allsides.com/news-source/reuters,center,8609,5245,1.64137273593586,agree,reuters,207.0,https://mediabiasfactcheck.com/reuters/,center,very high,united kingdom,"23,475,755",reuters,2600.0,reuters
right side news,https://www.allsides.com/news-source/right-side-news,right,452,234,1.9316239315413800,agree,right side news,210.0,https://mediabiasfactcheck.com/right-wing-news/,questionable sources,low,nan,"2,109,646",right side news,368.0,right side news
right wing news,https://www.allsides.com/news-source/right-wing-news,right,403,196,2.0561224488746900,strongly agree,right wing news,211.0,https://mediabiasfactcheck.com/south-jersey-mechanic-trump-news/,questionable sources,low,united states,1,right wing news,382.0,right wing news
roll call,https://www.allsides.com/news-source/roll-call-media-bias,center,148,141,1.049645389996480,somewhat agree,roll call,212.0,https://mediabiasfactcheck.com/roll-call/,center,very high,united states,"2,390,580",roll call,2601.0,roll call
salon,https://www.allsides.com/news-source/salon,left,11108,5045,2.20178394449514,strongly agree,salon,214.0,https://mediabiasfactcheck.com/salon/,left,high,united states,"2,970,380",salon,2127.0,salon
san francisco chronicle,https://www.allsides.com/news-source/san-francisco-chronicle,left,921,339,2.7168141592118900,strongly agree,san francisco chronicle,215.0,https://mediabiasfactcheck.com/san-francisco-chronicle/,left-center,high,united states,"1,502,415",san francisco chronicle,2134.0,san francisco chronicle
san jose mercury news,https://www.allsides.com/news-source/san-jose-mercury-news,left-center,382,421,0.9073634204060010,somewhat disagree,san jose mercury news,216.0,https://mediabiasfactcheck.com/san-jose-mercury-news/,left-center,high,united states,"1,457,611",san jose mercury news,2136.0,san jose mercury news
science daily,https://www.allsides.com/news-source/science-daily,center,464,289,1.605536332124380,agree,science daily,217.0,https://mediabiasfactcheck.com/science-daily/,pro-science,very high,united states,"1,810,919",science daily,2602.0,science daily
scientific american,https://www.allsides.com/news-source/scientific-american,center,1073,557,1.92639138237116,agree,scientific american,218.0,https://mediabiasfactcheck.com/scientific-american/,pro-science,high,united states,"1,708,847",scientific american,2158.0,scientific american
sfgate,https://www.allsides.com/news-source/sf-gate,left-center,434,494,0.8785425101036730,somewhat disagree,sfgate,220.0,https://mediabiasfactcheck.com/sfgate/,left-center,high,united states,"3,423,720",sfgate,2167.0,sfgate
slate,https://www.allsides.com/news-source/slate,left,4477,2673,1.6748971193353000,agree,slate,222.0,https://mediabiasfactcheck.com/slate/,left,high,united states,"3,020,176",slate,2178.0,slate
snopes,https://www.allsides.com/news-source/snopes,center,281,582,0.4828178694075120,strongly disagree,snopes,224.0,https://mediabiasfactcheck.com/snopes/,center,high,united states,"3,686,779",snopes,2180.0,snopes
splinter,https://www.allsides.com/news-source/splinter-media-bias,left,204,76,2.684210525962600,strongly agree,splinter,227.0,https://mediabiasfactcheck.com/splinter/,left,mixed,united states,"605,675",splinter,1092.0,splinter
techcrunch,https://www.allsides.com/news-source/techcrunch-media-bias,center,412,269,1.5315985129542200,agree,techcrunch,234.0,https://mediabiasfactcheck.com/techcrunch/,left-center,high,united states,"6,330,407",techcrunch,2227.0,techcrunch
teen vogue,https://www.allsides.com/news-source/teen-vogue,left-center,327,484,0.6756198346967850,somewhat disagree,teen vogue,235.0,https://mediabiasfactcheck.com/teen-vogue/,left,mostly factual,united states,"70,543",teen vogue,1280.0,teen vogue
the american conservative,https://www.allsides.com/news-source/american-conservative-media-bias,right-center,218,237,0.9198312235898810,somewhat disagree,the american conservative,237.0,https://mediabiasfactcheck.com/the-american-conservative/,right-center,high,united states,"1,631,341",the american conservative,2236.0,the american conservative
the college fix,https://www.allsides.com/news-source/college-fix,right,175,148,1.1824324323525400,somewhat agree,the college fix,244.0,https://mediabiasfactcheck.com/the-college-fix/,right,mixed,nan,"432,033",the college fix,1109.0,the college fix
the courier-journal,https://www.allsides.com/news-source/courier-journal,left-center,137,233,0.5879828325927900,disagree,the courier-journal,246.0,https://mediabiasfactcheck.com/the-courier-journal/,left-center,high,united states,"1,028,462",the courier-journal,2270.0,the courier-journal
the daily wire,https://www.allsides.com/news-source/daily-wire,right,3924,1753,2.2384483742028600,strongly agree,the daily wire,251.0,https://mediabiasfactcheck.com/the-daily-wire/,right,mixed,united states,"430,582",the daily wire,1118.0,the daily wire
the dispatch,https://www.allsides.com/news-source/dispatch-media-bias,right-center,4,4,0.9999999975,nan,the dispatch,254.0,https://mediabiasfactcheck.com/the-dispatch/,right-center,high,united states,0,the dispatch,2285.0,the dispatch
the economist,https://www.allsides.com/news-source/economist,left-center,2254,4304,0.5236988847571480,disagree,the economist,255.0,https://mediabiasfactcheck.com/the-economist/,center,high,united kingdom,"7,175,952",the economist,2288.0,the economist
the epoch times,https://www.allsides.com/news-source/epoch-times-media-bias,right,2460,805,3.0559006210800500,absolutely agree,the epoch times,256.0,https://mediabiasfactcheck.com/the-epoch-times/,right,mixed,united states,"1,665,637",the epoch times,1123.0,the epoch times
the federalist,https://www.allsides.com/news-source/federalist,right,3539,1510,2.343708609256000,strongly agree,the federalist,257.0,https://mediabiasfactcheck.com/the-federalist/,right,mixed,united states,"789,391",the federalist,1125.0,the federalist
the flip side,https://www.allsides.com/news-source/flip-side-media-bias,allsides,306,241,1.2697095435157800,somewhat agree,the flip side,258.0,https://mediabiasfactcheck.com/the-flip-side/,center,high,united states,0,the flip side,2292.0,the flip side
the gateway pundit,https://www.allsides.com/news-source/gateway-pundit,right,572,398,1.4371859296121300,somewhat agree,the gateway pundit,260.0,https://mediabiasfactcheck.com/the-gateway-pundit/,questionable sources,low,united states,"1,400,349",the gateway pundit,423.0,the gateway pundit
