name_mbfc,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
news with views,https://mediabiasfactcheck.com/news-with-views/,questionable sources,low,,"266,582"
newsammo,https://mediabiasfactcheck.com/newsammo/,questionable sources,mixed,united states,"4,177"
newsbreakshere,https://mediabiasfactcheck.com/newsbreakshere/,questionable sources,low,,196
newsner,https://mediabiasfactcheck.com/newsner/,questionable sources,very low,sweden,"82,170"
newsservis,https://mediabiasfactcheck.com/newsservis-com/,questionable sources,very low,unknown or invalid region,0
newswars,https://mediabiasfactcheck.com/newswars/,questionable sources,low,united states,"76,601"
nmws.us,https://mediabiasfactcheck.com/nmws-us/,questionable sources,low,,13
nosunicamos,https://mediabiasfactcheck.com/nos-comunicamos/,questionable sources,low,,87
oath keepers,https://mediabiasfactcheck.com/oath-keepers/,questionable sources,low,united states,"124,341"
occupy democrats,https://mediabiasfactcheck.com/occupy-democrats/,questionable sources,low,united states,"40,318"
online conservative press,https://mediabiasfactcheck.com/online-conservative-press/,questionable sources,low,,15
open magazines,https://mediabiasfactcheck.com/open-magazines/,questionable sources,very low,macedonia,"1,672"
