name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as,orig_name_as,unique_id_as,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc,orig_name_mbfc,unique_id_mbfc,name_mbfc
cbs news,https://www.allsides.com/news-source/cbs-news-media-bias,left-center,8985,6723,1.3364569388645895,somewhat agree,cbs news,39,https://mediabiasfactcheck.com/cbs-news/,left-center,high,united states,"6,068,779",cbs news,1458,cbs news
center for public integrity,https://www.allsides.com/news-source/center-public-integrity,left-center,653,733,0.8908594815703839,somewhat disagree,center for public integrity,41,https://mediabiasfactcheck.com/center-for-public-integrity/,left-center,high,united states,"287,572",center for public integrity,1469,center for public integrity
check your fact,https://www.allsides.com/news-source/check-your-fact-media-bias,right-center,41,41,0.9999999997560975,nan,check your fact,43,https://mediabiasfactcheck.com/check-your-fact/,right-center,high,united states,"8,964",check your fact,1477,check your fact
chicago sun-times,https://www.allsides.com/news-source/chicago-sun-times,left-center,734,722,1.0166204986008778,somewhat agree,chicago sun-times,45,https://mediabiasfactcheck.com/chicago-sun-times/,left-center,high,united states,"1,735,078",chicago sun-times,1480,chicago sun-times
chicago tribune,https://www.allsides.com/news-source/chicago-tribune,center,1878,3353,0.5600954369204888,disagree,chicago tribune,46,https://mediabiasfactcheck.com/chicago-tribune/,right-center,high,united states,"4,796,090",chicago tribune,1481,chicago tribune
christian science monitor,https://www.allsides.com/news-source/christian-science-monitor,center,10387,13414,0.7743402415381136,somewhat disagree,christian science monitor,47,https://mediabiasfactcheck.com/christian-science-monitor/,center,high,united states,"2,602,907",christian science monitor,1483,christian science monitor
christianity today,https://www.allsides.com/news-source/christianity-today-media-bias,right-center,70,94,0.7446808509846085,somewhat disagree,christianity today,48,https://mediabiasfactcheck.com/christianity-today/,right-center,high,united states,"719,707",christianity today,1484,christianity today
city journal,https://www.allsides.com/news-source/city-journal-media-bias,right,315,262,1.2022900762899889,somewhat agree,city journal,49,https://mediabiasfactcheck.com/city-journal/,right,high,united states,"805,635",city journal,1494,city journal
cnbc,https://www.allsides.com/news-source/cnbc,center,1810,4403,0.4110833522588892,strongly disagree,cnbc,50,https://mediabiasfactcheck.com/cnbc/,left-center,high,united states,"3,538,689",cnbc,1499,cnbc
cnet,https://www.allsides.com/news-source/cnet,center,253,202,1.2524752474627487,somewhat agree,cnet,51,https://mediabiasfactcheck.com/cnet/,center,high,united states,"14,691,424",cnet,1500,cnet
columbia journalism review,https://www.allsides.com/news-source/columbia-journalism-review,center,167,298,0.5604026845449529,disagree,columbia journalism review,55,https://mediabiasfactcheck.com/columbia-journalism-review/,left-center,high,united states,"633,985",columbia journalism review,1503,columbia journalism review
commentary magazine,https://www.allsides.com/news-source/commentary-magazine-media-bias,right,189,207,0.9130434782167612,somewhat disagree,commentary magazine,56,https://mediabiasfactcheck.com/commentary-magazine/,right,mostly factual,united states,"694,732",commentary magazine,1224,commentary magazine
concord monitor,https://www.allsides.com/news-source/concord-monitor,center,15,19,0.7894736837950138,somewhat disagree,concord monitor,57,https://mediabiasfactcheck.com/concord-monitor/,center,high,united states,"566,793",concord monitor,1511,concord monitor
conservative hq,https://www.allsides.com/news-source/conservative-hq,right,812,378,2.1481481480913187,strongly agree,conservative hq,58,https://mediabiasfactcheck.com/conservative-hq/,right,mixed,united states,"171,696",conservative hq,787,conservative hq
current affairs,https://www.allsides.com/news-source/current-affairs-media-bias,left,304,139,2.187050359554888,strongly agree,current affairs,64,https://mediabiasfactcheck.com/current-affairs-magazine/,left,high,united states,"22,542",current affairs,1537,current affairs
daily beast,https://www.allsides.com/news-source/daily-beast-media-bias,left,9898,4699,2.1064056182121598,strongly agree,daily beast,65,https://mediabiasfactcheck.com/daily-beast/,left,high,united states,"2,584,164",daily beast,1541,daily beast
daily mail,https://www.allsides.com/news-source/daily-mail,right,4046,2721,1.4869533259776295,somewhat agree,daily mail,68,https://mediabiasfactcheck.com/daily-mail/,questionable sources,low,united kingdom,"6,293,579",daily mail,117,daily mail
daily press,https://www.allsides.com/news-source/daily-press,right-center,350,439,0.7972665147882172,somewhat disagree,daily press,70,https://mediabiasfactcheck.com/daily-press/,right-center,high,united states,"1,078,706",daily press,1549,daily press
defense one,https://www.allsides.com/news-source/defense-one-media-bias,center,230,216,1.064814814765518,somewhat agree,defense one,73,https://mediabiasfactcheck.com/defense-one/,center,high,united states,"199,685",defense one,1568,defense one
democracy now,https://www.allsides.com/news-source/democracy-now,left,6920,2093,3.3062589584170747,absolutely agree,democracy now,74,https://mediabiasfactcheck.com/democracy-now/,left,high,united states,"2,483,056",democracy now,1573,democracy now
des moines register,https://www.allsides.com/news-source/desmoines-register,center,90,105,0.8571428570612245,somewhat disagree,des moines register,75,https://mediabiasfactcheck.com/the-des-moines-register/,center,high,united states,"1,259,246",des moines register,2283,des moines register
deseret news,https://www.allsides.com/news-source/deseret-news,right-center,1100,1745,0.6303724928330638,disagree,deseret news,76,https://mediabiasfactcheck.com/deseret-news/,right-center,high,united states,"145,928",deseret news,1578,deseret news
detroit free press,https://www.allsides.com/news-source/detroit-free-press,left-center,117,184,0.6358695651828331,disagree,detroit free press,77,https://mediabiasfactcheck.com/detroit-free-press/,left-center,high,united states,"1,876,495",detroit free press,1581,detroit free press
detroit news,https://www.allsides.com/news-source/detroit-news,center,60,98,0.6122448978967098,disagree,detroit news,78,https://mediabiasfactcheck.com/detroit-news/,right-center,high,united states,"1,594,957",detroit news,1582,detroit news
drudge report,https://www.allsides.com/news-source/drudge-report,right-center,2028,1379,1.4706308919400246,somewhat agree,drudge report,80,https://mediabiasfactcheck.com/drudge-report/,questionable sources,low,united states,"5,523,022",drudge report,144,drudge report
fivethirtyeight,https://www.allsides.com/news-source/fivethirtyeight-0,center,3528,2226,1.5849056603702385,agree,fivethirtyeight,92,https://mediabiasfactcheck.com/fivethirtyeight/,left-center,high,united states,"2,341,886",fivethirtyeight,1650,fivethirtyeight
forbes,https://www.allsides.com/news-source/forbes,center,5744,3321,1.7295995182121964,agree,forbes,93,https://mediabiasfactcheck.com/forbes/,right-center,mostly factual,united states,"6,223,025",forbes,1242,forbes
foreign affairs,https://www.allsides.com/news-source/foreign-affairs,center,882,493,1.7890466531077271,agree,foreign affairs,94,https://mediabiasfactcheck.com/foreign-affairs/,center,high,united states,"1,345,506",foreign affairs,1652,foreign affairs
foreign policy,https://www.allsides.com/news-source/foreign-policy-media-bias,center,80,80,0.999999999875,nan,foreign policy,95,https://mediabiasfactcheck.com/foreign-policy/,center,high,united states,"944,030",foreign policy,1655,foreign policy
frontpage magazine,https://www.allsides.com/news-source/frontpage-magazine,right,509,395,1.2886075949040858,somewhat agree,frontpage magazine,99,https://mediabiasfactcheck.com/frontpage-magazine/,questionable sources,low,united states,"1,802,704",frontpage magazine,178,frontpage magazine
grist,https://www.allsides.com/news-source/grist,left-center,461,511,0.9021526418610146,somewhat disagree,grist,103,https://mediabiasfactcheck.com/grist/,left-center,high,united states,"966,297",grist,1706,grist
heavy,https://www.allsides.com/news-source/heavycom-media-bias,center,31,30,1.033333332988889,somewhat agree,heavy.com,106,https://mediabiasfactcheck.com/heavy/,left-center,high,united states,"535,119",heavy,1723,heavy
honolulu civil beat,https://www.allsides.com/news-source/honolulu-civil-beat,center,329,447,0.7360178970752569,somewhat disagree,honolulu civil beat,108,https://mediabiasfactcheck.com/honolulu-civil-beat/,left-center,high,united states,297,honolulu civil beat,1738,honolulu civil beat
houston chronicle,https://www.allsides.com/news-source/houston-chronicle-media-bias,center,31,20,1.5499999992250002,agree,houston chronicle,110,https://mediabiasfactcheck.com/houston-chronicle/,left-center,high,united states,"78,792",houston chronicle,1741,houston chronicle
idaho statesman,https://www.allsides.com/news-source/idaho-statesman-media-bias,center,49,44,1.1136363633832644,somewhat agree,idaho statesman,114,https://mediabiasfactcheck.com/idaho-statesman/,center,high,united states,"1,337,755",idaho statesman,1750,idaho statesman
independent journal review,https://www.allsides.com/news-source/independent-journal-review,right-center,1200,1108,1.083032490964955,somewhat agree,independent journal review,116,https://mediabiasfactcheck.com/independent-journal-review/,right,high,united states,"307,407",independent journal review,1758,independent journal review
infowars,https://www.allsides.com/news-source/infowars,right,4332,1012,4.280632411024896,absolutely agree,infowars,120,https://mediabiasfactcheck.com/infowars-alex-jones/,conspiracy-pseudoscience,very low,united states,"5,200,579",infowars,221,infowars
inside philanthropy,https://www.allsides.com/news-source/inside-philanthropy,center,294,325,0.9046153845875504,somewhat disagree,inside philanthropy,121,https://mediabiasfactcheck.com/inside-philanthropy/,left-center,high,united states,"2,002",inside philanthropy,1775,inside philanthropy
international business times,https://www.allsides.com/news-source/international-business-times,center,1006,769,1.3081924577203097,somewhat agree,international business times,123,https://mediabiasfactcheck.com/international-business-times/,left-center,mixed,united states,"1,111,703",international business times,919,international business times
jacobin,https://www.allsides.com/news-source/jacobin-media-bias,left,594,150,3.959999999736,absolutely agree,jacobin,126,https://mediabiasfactcheck.com/jacobin/,left,high,united states,"261,479",jacobin,1797,jacobin
jezebel,https://www.allsides.com/news-source/jezebel-media-bias,left,150,63,2.3809523805744517,strongly agree,jezebel,127,https://mediabiasfactcheck.com/jezebel/,left,mixed,united states,"10,228,853",jezebel,930,jezebel
judicial watch,https://www.allsides.com/news-source/judicial-watch,right-center,1078,1194,0.9028475711817184,somewhat disagree,judicial watch,130,https://mediabiasfactcheck.com/judicial-watch/,questionable sources,low,united states,"466,469",judicial watch,230,judicial watch
las vegas sun,https://www.allsides.com/news-source/las-vegas-sun,left-center,282,288,0.9791666666326678,somewhat disagree,las vegas sun,134,https://mediabiasfactcheck.com/las-vegas-sun/,left-center,mostly factual,united states,"318,891",las vegas sun,1256,las vegas sun
lifehacker,https://www.allsides.com/news-source/lifehacker,center,324,308,1.0519480519138975,somewhat agree,lifehacker,137,https://mediabiasfactcheck.com/lifehacker/,left-center,high,united states,"11,635,150",lifehacker,1857,lifehacker
marketwatch,https://www.allsides.com/news-source/marketwatch-media-bias,right-center,143,264,0.5416666666461489,disagree,marketwatch,143,https://mediabiasfactcheck.com/marketwatch/,right-center,high,united states,"8,938,881",marketwatch,1875,marketwatch
mashable,https://www.allsides.com/news-source/mashable,left,428,188,2.276595744559756,strongly agree,mashable,144,https://mediabiasfactcheck.com/mashable/,left,mostly factual,united states,"4,260,645",mashable,1260,mashable
media matters,https://www.allsides.com/news-source/media-matters-bias,left,2551,1575,1.6196825396722558,agree,media matters,146,https://mediabiasfactcheck.com/media-matters/,left,high,united states,"2,291,747",media matters,1877,media matters
mediaite,https://www.allsides.com/news-source/mediaite-bias,left-center,704,712,0.9887640449299332,somewhat disagree,mediaite,148,https://mediabiasfactcheck.com/mediaite/,left,high,united states,"1,198,894",mediaite,1879,mediaite
miami herald,https://www.allsides.com/news-source/miami-herald,left-center,305,328,0.929878048752138,somewhat disagree,miami herald,149,https://mediabiasfactcheck.com/miami-herald/,left-center,high,united states,"3,399,326",miami herald,1896,miami herald
mother jones,https://www.allsides.com/news-source/mother-jones-bias,left,7464,1340,5.5701492536897765,absolutely agree,mother jones,154,https://mediabiasfactcheck.com/mother-jones/,left-center,high,united states,"2,183,123",mother jones,1916,mother jones
msnbc,https://www.allsides.com/news-source/msnbc,left,8189,2658,3.0808878856167015,absolutely agree,msnbc,155,https://mediabiasfactcheck.com/msnbc/,left,mixed,united states,"9,472,862",msnbc,979,msnbc
national journal,https://www.allsides.com/news-source/national-journal,center,974,713,1.366058906011696,somewhat agree,national journal,157,https://mediabiasfactcheck.com/national-journal/,center,high,united states,"813,548",national journal,1936,national journal
national review,https://www.allsides.com/news-source/national-review,right,11198,5057,2.2143563377452757,strongly agree,national review,158,https://mediabiasfactcheck.com/national-review/,right,mostly factual,united states,"3,922,194",national review,1262,national review
new republic,https://www.allsides.com/news-source/new-republic,left,1377,741,1.858299595116622,agree,new republic,162,https://mediabiasfactcheck.com/new-republic/,left,high,united states,"1,672,937",new republic,1962,new republic
new york daily news,https://www.allsides.com/news-source/new-york-daily-news,left,1120,515,2.174757281511169,strongly agree,new york daily news,163,https://mediabiasfactcheck.com/new-york-daily-news/,left-center,mixed,united states,"3,686,344",new york daily news,992,new york daily news
new york magazine,https://www.allsides.com/news-source/new-york-magazine,left,1850,869,2.1288837744288966,strongly agree,new york magazine,164,https://mediabiasfactcheck.com/new-york-magazine/,left,high,united states,"7,128,454",new york magazine,1967,new york magazine
new york post,https://www.allsides.com/news-source/new-york-post,right,5172,3418,1.5131655939101432,agree,new york post,165,https://mediabiasfactcheck.com/new-york-post/,right-center,mixed,united states,"7,322,756",new york post,993,new york post
newsbusters,https://www.allsides.com/news-source/newsbusters,right,339,196,1.729591836646449,agree,newsbusters,168,https://mediabiasfactcheck.com/newsbusters/,right,mixed,united states,"2,542,784",newsbusters,997,newsbusters
newsone,https://www.allsides.com/news-source/newsonecom-media-bias,left,74,50,1.479999999704,somewhat agree,newsone,171,https://mediabiasfactcheck.com/newsone/,left,mostly factual,united states,"156,933",newsone,1267,newsone
newsweek,https://www.allsides.com/news-source/newsweek,left-center,2274,2725,0.8344954128409744,somewhat disagree,newsweek,172,https://mediabiasfactcheck.com/newsweek/,left,mixed,united states,"4,019,228",newsweek,1004,newsweek
one america news network,https://www.allsides.com/news-source/one-america-news-network-media-bias,right-center,610,622,0.9807073954826252,somewhat disagree,one america news network,178,https://mediabiasfactcheck.com/one-america-news-network/,right,mixed,nan,"315,564",one america news network,1018,one america news network
orange county register,https://www.allsides.com/news-source/orange-county-register,right-center,275,234,1.1752136751634523,somewhat agree,orange county register,179,https://mediabiasfactcheck.com/orange-county-register/,right-center,high,united states,"1,179,747",orange county register,2006,orange county register
peacock panache,https://www.allsides.com/news-source/peacock-panache,left,185,100,1.849999999815,agree,peacock panache,182,https://mediabiasfactcheck.com/peacock-panache/,left,mixed,united states,"36,330",peacock panache,1033,peacock panache
phys,https://www.allsides.com/news-source/physorg,center,125,71,1.7605633800337237,agree,phys.org,183,https://mediabiasfactcheck.com/phys-org/,pro-science,high,united kingdom,"1,977,989",phys.org,2034,phys
pittsburgh post-gazette,https://www.allsides.com/news-source/pittsburgh-post-gazette,right-center,242,292,0.8287671232592888,somewhat disagree,pittsburgh post-gazette,184,https://mediabiasfactcheck.com/pittsburgh-post-gazette/,right-center,high,united states,"1,705,481",pittsburgh post-gazette,2036,pittsburgh post-gazette
pj media,https://www.allsides.com/news-source/pj-media,right,256,140,1.8285714284408163,agree,pj media,185,https://mediabiasfactcheck.com/pj-media/,questionable sources,mixed,united states,"2,277,048",pj media,316,pj media
pj media,https://www.allsides.com/news-source/pj-media-media-bias,right-center,194,169,1.147928994014915,somewhat agree,pj media,186,https://mediabiasfactcheck.com/pj-media/,questionable sources,mixed,united states,"2,277,048",pj media,316,pj media
politico,https://www.allsides.com/news-source/politico-media-bias,left-center,15682,23129,0.6780232608410748,somewhat disagree,politico,187,https://mediabiasfactcheck.com/politico/,center,high,united states,"3,882,511",politico,2044,politico
politicususa,https://www.allsides.com/news-source/politicususa,left,894,313,2.8562300318576286,strongly agree,politicususa,188,https://mediabiasfactcheck.com/politicususa/,left,mixed,united states,"547,536",politicususa,1039,politicususa
politifact,https://www.allsides.com/news-source/politifact,left-center,2252,2599,0.8664871104237535,somewhat disagree,politifact,189,https://mediabiasfactcheck.com/politifact/,center,high,united states,"1,382,237",politifact,2046,politifact
project veritas,https://www.allsides.com/news-source/project-veritas-media-bias,right-center,128,136,0.9411764705190312,somewhat disagree,project veritas,194,https://mediabiasfactcheck.com/project-veritas/,right,mixed,united states,"128,262",project veritas,1049,project veritas
propublica,https://www.allsides.com/news-source/propublica,center,1045,717,1.4574616457258374,somewhat agree,propublica,195,https://mediabiasfactcheck.com/propublica/,left-center,high,united states,"1,994,243",propublica,2064,propublica
psychology today,https://www.allsides.com/news-source/psychology-today-media-bias,center,10,1,9.999999900000002,absolutely agree,psychology today,196,https://mediabiasfactcheck.com/psychology-today/,pro-science,high,united states,"180,409",psychology today,2067,psychology today
quartz,https://www.allsides.com/news-source/quartz,center,568,539,1.053803339498074,somewhat agree,quartz,198,https://mediabiasfactcheck.com/quartz/,left-center,high,united states,"816,997",quartz,2073,quartz
quillette,https://www.allsides.com/news-source/quillette-media-bias,right-center,362,585,0.6188034187928411,disagree,quillette,199,https://mediabiasfactcheck.com/quillette/,questionable sources,mixed,australia,"350,196",quillette,344,quillette
rasmussen reports,https://www.allsides.com/news-source/rasmussen-reports,center,519,740,0.7013513513418737,somewhat disagree,rasmussen reports,200,https://mediabiasfactcheck.com/rasmussen-reports/,right-center,high,united states,"707,528",rasmussen reports,2082,rasmussen reports
raw story,https://www.allsides.com/news-source/raw-story,left,704,385,1.8285714285239327,agree,raw story,201,https://mediabiasfactcheck.com/raw-story/,left,mixed,united states,"2,401,668",raw story,1056,raw story
reason,https://www.allsides.com/news-source/reason,right-center,5973,3925,1.5217834394865688,agree,reason,203,https://mediabiasfactcheck.com/reason/,right-center,high,united states,"2,279,682",reason,2093,reason
reuters,https://www.allsides.com/news-source/reuters,center,8609,5245,1.64137273593586,agree,reuters,207,https://mediabiasfactcheck.com/reuters/,center,very high,united kingdom,"23,475,755",reuters,2600,reuters
right side news,https://www.allsides.com/news-source/right-side-news,right,452,234,1.9316239315413837,agree,right side news,210,https://mediabiasfactcheck.com/right-wing-news/,questionable sources,low,nan,"2,109,646",right side news,368,right side news
right wing news,https://www.allsides.com/news-source/right-wing-news,right,403,196,2.0561224488746874,strongly agree,right wing news,211,https://mediabiasfactcheck.com/south-jersey-mechanic-trump-news/,questionable sources,low,united states,1,right wing news,382,right wing news
roll call,https://www.allsides.com/news-source/roll-call-media-bias,center,148,141,1.049645389996479,somewhat agree,roll call,212,https://mediabiasfactcheck.com/roll-call/,center,very high,united states,"2,390,580",roll call,2601,roll call
salon,https://www.allsides.com/news-source/salon,left,11108,5045,2.20178394449514,strongly agree,salon,214,https://mediabiasfactcheck.com/salon/,left,high,united states,"2,970,380",salon,2127,salon
san francisco chronicle,https://www.allsides.com/news-source/san-francisco-chronicle,left,921,339,2.7168141592118933,strongly agree,san francisco chronicle,215,https://mediabiasfactcheck.com/san-francisco-chronicle/,left-center,high,united states,"1,502,415",san francisco chronicle,2134,san francisco chronicle
san jose mercury news,https://www.allsides.com/news-source/san-jose-mercury-news,left-center,382,421,0.9073634204060008,somewhat disagree,san jose mercury news,216,https://mediabiasfactcheck.com/san-jose-mercury-news/,left-center,high,united states,"1,457,611",san jose mercury news,2136,san jose mercury news
science daily,https://www.allsides.com/news-source/science-daily,center,464,289,1.605536332124376,agree,science daily,217,https://mediabiasfactcheck.com/science-daily/,pro-science,very high,united states,"1,810,919",science daily,2602,science daily
scientific american,https://www.allsides.com/news-source/scientific-american,center,1073,557,1.92639138237116,agree,scientific american,218,https://mediabiasfactcheck.com/scientific-american/,pro-science,high,united states,"1,708,847",scientific american,2158,scientific american
sfgate,https://www.allsides.com/news-source/sf-gate,left-center,434,494,0.8785425101036732,somewhat disagree,sfgate,220,https://mediabiasfactcheck.com/sfgate/,left-center,high,united states,"3,423,720",sfgate,2167,sfgate
slate,https://www.allsides.com/news-source/slate,left,4477,2673,1.6748971193352982,agree,slate,222,https://mediabiasfactcheck.com/slate/,left,high,united states,"3,020,176",slate,2178,slate
snopes,https://www.allsides.com/news-source/snopes,center,281,582,0.4828178694075117,strongly disagree,snopes,224,https://mediabiasfactcheck.com/snopes/,center,high,united states,"3,686,779",snopes,2180,snopes
splinter,https://www.allsides.com/news-source/splinter-media-bias,left,204,76,2.684210525962604,strongly agree,splinter,227,https://mediabiasfactcheck.com/splinter/,left,mixed,united states,"605,675",splinter,1092,splinter
techcrunch,https://www.allsides.com/news-source/techcrunch-media-bias,center,412,269,1.5315985129542156,agree,techcrunch,234,https://mediabiasfactcheck.com/techcrunch/,left-center,high,united states,"6,330,407",techcrunch,2227,techcrunch
teen vogue,https://www.allsides.com/news-source/teen-vogue,left-center,327,484,0.6756198346967847,somewhat disagree,teen vogue,235,https://mediabiasfactcheck.com/teen-vogue/,left,mostly factual,united states,"70,543",teen vogue,1280,teen vogue
the american conservative,https://www.allsides.com/news-source/american-conservative-media-bias,right-center,218,237,0.9198312235898805,somewhat disagree,the american conservative,237,https://mediabiasfactcheck.com/the-american-conservative/,right-center,high,united states,"1,631,341",the american conservative,2236,the american conservative
the college fix,https://www.allsides.com/news-source/college-fix,right,175,148,1.1824324323525384,somewhat agree,the college fix,244,https://mediabiasfactcheck.com/the-college-fix/,right,mixed,nan,"432,033",the college fix,1109,the college fix
the courier-journal,https://www.allsides.com/news-source/courier-journal,left-center,137,233,0.5879828325927904,disagree,the courier-journal,246,https://mediabiasfactcheck.com/the-courier-journal/,left-center,high,united states,"1,028,462",the courier-journal,2270,the courier-journal
the daily wire,https://www.allsides.com/news-source/daily-wire,right,3924,1753,2.2384483742028607,strongly agree,the daily wire,251,https://mediabiasfactcheck.com/the-daily-wire/,right,mixed,united states,"430,582",the daily wire,1118,the daily wire
the dispatch,https://www.allsides.com/news-source/dispatch-media-bias,right-center,4,4,0.9999999975,nan,the dispatch,254,https://mediabiasfactcheck.com/the-dispatch/,right-center,high,united states,0,the dispatch,2285,the dispatch
the economist,https://www.allsides.com/news-source/economist,left-center,2254,4304,0.5236988847571475,disagree,the economist,255,https://mediabiasfactcheck.com/the-economist/,center,high,united kingdom,"7,175,952",the economist,2288,the economist
the epoch times,https://www.allsides.com/news-source/epoch-times-media-bias,right,2460,805,3.0559006210800512,absolutely agree,the epoch times,256,https://mediabiasfactcheck.com/the-epoch-times/,right,mixed,united states,"1,665,637",the epoch times,1123,the epoch times
the federalist,https://www.allsides.com/news-source/federalist,right,3539,1510,2.343708609256002,strongly agree,the federalist,257,https://mediabiasfactcheck.com/the-federalist/,right,mixed,united states,"789,391",the federalist,1125,the federalist
the flip side,https://www.allsides.com/news-source/flip-side-media-bias,allsides,306,241,1.2697095435157797,somewhat agree,the flip side,258,https://mediabiasfactcheck.com/the-flip-side/,center,high,united states,0,the flip side,2292,the flip side
the gateway pundit,https://www.allsides.com/news-source/gateway-pundit,right,572,398,1.4371859296121308,somewhat agree,the gateway pundit,260,https://mediabiasfactcheck.com/the-gateway-pundit/,questionable sources,low,united states,"1,400,349",the gateway pundit,423,the gateway pundit
the guardian,https://www.allsides.com/news-source/guardian,left-center,7386,4628,1.5959377700916249,agree,the guardian,262,https://mediabiasfactcheck.com/the-guardian/,left-center,high,united kingdom,"8,715,772",the guardian,2298,the guardian
the hill,https://www.allsides.com/news-source/hill-media-bias,center,8959,11455,0.7821038847657947,somewhat disagree,the hill,263,https://mediabiasfactcheck.com/the-hill/,right-center,mostly factual,united states,"2,663,933",the hill,1283,the hill
the independent,https://www.allsides.com/news-source/independent-0,left-center,195,173,1.1271676299926492,somewhat agree,the independent,265,https://mediabiasfactcheck.com/the-independent/,left-center,high,united kingdom,"8,236,344",the independent,2307,the independent
the intercept,https://www.allsides.com/news-source/intercept,left,1939,845,2.294674556185862,strongly agree,the intercept,266,https://mediabiasfactcheck.com/the-intercept/,left-center,high,united states,"1,059,871",the intercept,2311,the intercept
the libertarian republic,https://www.allsides.com/news-source/libertarian-republic,right-center,829,679,1.2209131074930646,somewhat agree,the libertarian republic,270,https://mediabiasfactcheck.com/the-libertarian-republic/,right-center,high,united states,"61,834",the libertarian republic,2324,the libertarian republic
