name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
fact checker blog,https://www.allsides.com/news-source/fact-checker-blog,center,757.0,629.0,1.20349761524319,somewhat agree
falls church news - press,https://www.allsides.com/news-source/falls-church-news-press,left,385.0,454.0,0.848017621126696,somewhat disagree
glaad,https://www.allsides.com/news-source/glaad-media-bias,left-center,2.0,1.0,1.99999998,agree
google news,https://www.allsides.com/news-source/google-news-media-bias,left-center,311.0,230.0,1.3521739129846901,somewhat agree
hampton roads messanger,https://www.allsides.com/news-source/hampton-roads-messanger,center,376.0,378.0,0.99470899468268,somewhat disagree
how do we fix it?,https://www.allsides.com/news-source/how-do-we-fix-it,center,608.0,591.0,1.02876480539714,somewhat agree
howard kurtz,https://www.allsides.com/news-source/howard-kurtz-media-bias,center,81.0,68.0,1.19117647041306,somewhat agree
inacow,https://www.allsides.com/news-source/inacow,right,374.0,264.0,1.416666666613,somewhat agree
indiana daily student,https://www.allsides.com/news-source/indiana-daily-student,center,272.0,353.0,0.770538243604234,somewhat disagree
indy online,https://www.allsides.com/news-source/indy-online,center,274.0,303.0,0.90429042901306,somewhat disagree
indy week,https://www.allsides.com/news-source/indy-week,left-center,296.0,339.0,0.873156342157134,somewhat disagree
intellectual conservative,https://www.allsides.com/news-source/intellectual-conservative,right-center,356.0,384.0,0.927083333309191,somewhat disagree
journalist's resource,https://www.allsides.com/news-source/journalists-resource,center,254.0,294.0,0.863945578201907,somewhat disagree
jubilee media,https://www.allsides.com/news-source/jubilee-media-bias,center,172.0,152.0,1.13157894729398,somewhat agree
katu,https://www.allsides.com/news-source/katu-media-bias,center,50.0,52.0,0.96153846135355,somewhat disagree
kqed,https://www.allsides.com/news-source/kqed,center,471.0,397.0,1.18639798485677,somewhat agree
ksl,https://www.allsides.com/news-source/ksl,right,863.0,676.0,1.27662721891603,somewhat agree
leesburg today,https://www.allsides.com/news-source/leesburg-today,right-center,219.0,196.0,1.1173469387185,somewhat agree
left - major media sources,https://www.allsides.com/news-source/left-major-publications,left,562.0,439.0,1.28018223231708,somewhat agree
listen first project,https://www.allsides.com/news-source/listen-first-project-media-bias,allsides,132.0,105.0,1.25714285702313,somewhat agree
longmont times-call,https://www.allsides.com/news-source/longmont-times-call,left-center,179.0,166.0,1.07831325294709,somewhat agree
michellemalkin,https://www.allsides.com/news-source/michellemalkincom,right,553.0,285.0,1.9403508771248998,agree
michigan daily,https://www.allsides.com/news-source/michigan-daily,left-center,237.0,218.0,1.08715596325288,somewhat agree
mismatch,https://www.allsides.com/news-source/mismatchorg-media-bias,allsides,86.0,92.0,0.934782608594045,somewhat disagree
mit news,https://www.allsides.com/news-source/mit-news,center,226.0,181.0,1.2486187844614,somewhat agree
mtv news online,https://www.allsides.com/news-source/mtv-news-online-media-bias,left-center,78.0,113.0,0.690265486664578,somewhat disagree
newtrals,https://www.allsides.com/news-source/newtrals-media-bias,center,2.0,0.0,200000000.0,absolutely agree
nieman lab,https://www.allsides.com/news-source/nieman-lab-media-bias,center,16.0,10.0,1.5999999984,agree
nmpolitics.net,https://www.allsides.com/news-source/nmpoliticsnet,center,191.0,248.0,0.770161290291526,somewhat disagree
pri (public radio international),https://www.allsides.com/news-source/pri-public-radio-international,center,693.0,423.0,1.6382978723016999,agree
progressive voices of iowa,https://www.allsides.com/news-source/progressive-voices-iowa,left,204.0,129.0,1.58139534871462,agree
record journal,https://www.allsides.com/news-source/record-journal,center,134.0,152.0,0.881578947310422,somewhat disagree
red racing horses,https://www.allsides.com/news-source/red-racing-horses-media-bias,right,33.0,33.0,0.99999999969697,
right - major media sources,https://www.allsides.com/news-source/right-major-publications,right,293.0,287.0,1.02090592330938,somewhat agree
sf weekly,https://www.allsides.com/news-source/sf-weekly,center,260.0,333.0,0.780780780757334,somewhat disagree
sky-hi daily news,https://www.allsides.com/news-source/sky-hi-daily-news,left-center,141.0,126.0,1.11904761895881,somewhat agree
smerconish,https://www.allsides.com/news-source/smerconish-media-bias,center,145.0,210.0,0.690476190443311,somewhat disagree
socialist alternative,https://www.allsides.com/news-source/socialist-alternative,left,438.0,208.0,2.10576923066799,strongly agree
socialist project/the bullet,https://www.allsides.com/news-source/socialist-projectthe-bullet,left,386.0,184.0,2.09782608684251,strongly agree
state journal,https://www.allsides.com/news-source/state-journal,left-center,176.0,249.0,0.706827309208561,somewhat disagree
storycorps,https://www.allsides.com/news-source/storycorps-media-bias,allsides,64.0,57.0,1.1228070173468798,somewhat agree
subverse,https://www.allsides.com/news-source/subverse-media-bias,center,75.0,39.0,1.92307692258383,agree
suspend belief podcast,https://www.allsides.com/news-source/suspend-belief-podcast,allsides,148.0,176.0,0.840909090861312,somewhat disagree
the advocate-messenger,https://www.allsides.com/news-source/advocate-messenger,left-center,176.0,217.0,0.811059907796725,somewhat disagree
the appeal,https://www.allsides.com/news-source/appeal-media-bias,center,39.0,29.0,1.34482758574316,somewhat agree
the cadiz record,https://www.allsides.com/news-source/cadiz-record,left-center,176.0,187.0,0.941176470537905,somewhat disagree
the canyon county zephyr,https://www.allsides.com/news-source/canyon-county-zephry,left,171.0,140.0,1.22142857134133,somewhat agree
the center square - michigan,https://www.allsides.com/news-source/center-square-michigan-media-bias,center,26.0,40.0,0.6499999998375,disagree
themercial appeal,https://www.allsides.com/news-source/commercial-appeal,left-center,161.0,220.0,0.731818181784917,somewhat disagree
the daily show (humor),https://www.allsides.com/news-source/daily-show,left-center,935.0,1212.0,0.771452145208156,somewhat disagree
the delaware county daily times,https://www.allsides.com/news-source/delaware-county-daily-times,left-center,183.0,215.0,0.851162790658085,somewhat disagree
the fulcrum,https://www.allsides.com/news-source/fulcrum-media-bias,center,67.0,68.0,0.985294117502163,somewhat disagree
the imaginative conservative,https://www.allsides.com/news-source/imaginative-conservative-media-bias,right,34.0,32.0,1.06249999966797,somewhat agree
the justice,https://www.allsides.com/news-source/justice,left-center,130.0,147.0,0.884353741436439,somewhat disagree
the oracle,https://www.allsides.com/news-source/oracle,center,83.0,115.0,0.721739130372023,somewhat disagree
the plebeian,https://www.allsides.com/news-source/plebeian-media-bias,left-center,18.0,20.0,0.89999999955,somewhat disagree
the red and black,https://www.allsides.com/news-source/red-and-black,center,159.0,108.0,1.47222222208591,somewhat agree
the reliable bias,https://www.allsides.com/news-source/reliable-bias,center,105.0,141.0,0.744680851011016,somewhat disagree
the saturday evening post,https://www.allsides.com/news-source/saturday-evening-post,center,160.0,110.0,1.45454545441322,somewhat agree
the texan,https://www.allsides.com/news-source/texan-media-bias,right-center,54.0,48.0,1.12499999976563,somewhat agree
the weekly standard,https://www.allsides.com/news-source/weekly-standard,right,1301.0,784.0,1.65943877548904,agree
the western journal,https://www.allsides.com/news-source/western-journalism,right,943.0,414.0,2.27777777772276,strongly agree
u.s. news & world report,https://www.allsides.com/news-source/us-news-and-world-report,left-center,1548.0,1726.0,0.89687137890558,somewhat disagree
univision,https://www.allsides.com/news-source/univision,left-center,365.0,435.0,0.839080459750826,somewhat disagree
volante,https://www.allsides.com/news-source/volante,center,143.0,157.0,0.910828025419692,somewhat disagree
vt digger,https://www.allsides.com/news-source/vt-digger,left-center,164.0,192.0,0.854166666622179,somewhat disagree
wake up to politics,https://www.allsides.com/news-source/wake-politics-media-bias,center,56.0,46.0,1.21739130408318,somewhat agree
wandtv,https://www.allsides.com/news-source/wandtv-media-bias,center,41.0,43.0,0.953488371871282,somewhat disagree
wfae,https://www.allsides.com/news-source/wfae,center,162.0,178.0,0.910112359499432,somewhat disagree
wgbh,https://www.allsides.com/news-source/wgbh,center,344.0,295.0,1.16610169487573,somewhat agree
whatfinger news,https://www.allsides.com/news-source/whatfinger-news-media-bias,right,130.0,110.0,1.18181818171074,somewhat agree
wisconsin gazette,https://www.allsides.com/news-source/wisconsin-gazette,left-center,214.0,189.0,1.13227513221522,somewhat agree
