news_source,bias,reporting,country,references
Bare Naked Islam,Questionable Sources,Low,United States,"131,596"
BB4SP,Questionable Sources,Low,United States,"64,163"
BeAware,Questionable Sources,Low,Macedonia,281
Before It's News,Questionable Sources,Low,United States,"1,359,556"
Best Daily News,Questionable Sources,Low,Macedonia,0
Big Blue Vision,Questionable Sources,Low,Unknown or Invalid Region,11
Big Government News,Conspiracy-Pseudoscience,Very Low,United States,720
Big League Politics,Questionable Sources,Low,United States,"219,813"
BillionBibles.org,Questionable Sources,Very Low,United States,101
Bipartisan Report,Questionable Sources,Mixed,United States,"51,440"
Black Eye Politics,Questionable Sources,Low,,"3,852"
Black Genocide,Questionable Sources,Low,United States,"24,656"
Black Pigeon Speaks,Questionable Sources,Low,United States,"18,310"
Blingnews.com,Questionable Sources,Low,United States,"6,251"
Blue Dot Daily,Questionable Sources,Mixed,United States,46
Blue Informer,Questionable Sources,Low,United States,1
Blue Vision Post,Questionable Sources,Low,United States,1
BlueVision.News,Questionable Sources,Low,United States,33
Blunt Force Truth,Questionable Sources,Low,United States,"49,953"
Bongino.com,Questionable Sources,Mixed,United States,"154,293"
Borderland Alternative Media (BAM),Questionable Sources,Low,United States,157
Breaking News House,Questionable Sources,Low,Unknown or Invalid Region,0
Breaking911,Questionable Sources,Very Low,Unknown or Invalid Region,"75,217"
Breitbart,Questionable Sources,Mixed,United States,"3,846,103"
Caldron Pool,Questionable Sources,Mixed,Australia,0
Canada Free Press,Questionable Sources,Low,Canada,"267,929"
Cap News,Questionable Sources,Very Low,Unknown or Invalid Region,56
Cbsnews.com.co,Questionable Sources,Very Low,Unknown or Invalid Region,107
Censored.news,Questionable Sources,Low,United States,0
Center for Security Policy,Questionable Sources,Mixed,United States,"266,184"
Center for Research of Radicalism and National Security,Questionable Sources,Low,,970
Cerno (Cernovich.com),Questionable Sources,Mixed,United States,"3,010"
Checkpoint Asia,Questionable Sources,Low,Unknown or Invalid Region,"11,128"
China Daily,Questionable Sources,Mixed,China,"32,932,238"
Christian Action Network,Questionable Sources,Low,United States,"52,893"
Church Militant,Questionable Sources,Mixed,United States,"124,076"
CityWorldNews,Questionable Sources,Very Low,Unknown or Invalid Region,184
Clarion Project,Questionable Sources,Low,United States,"164,426"
Clash Daily,Questionable Sources,Low,United States,"269,384"
Clover Chronicle,Questionable Sources,Low,Unknown or Invalid Region,"3,303"
Cnn.com.de,Questionable Sources,Very Low,Unknown or Invalid Region,"1,626"
cnn-globalnews.com,Questionable Sources,Very Low,,598
CNS News,Questionable Sources,Low,United States,"1,029,917"
Competitive Enterprise Institute,Questionable Sources,Low,United States,"365,049"
Concerned Women for America,Questionable Sources,Low,United States,"160,558"
Conservapedia,Questionable Sources,Mixed,United States,"24,826"
Conservative 101,Questionable Sources,Low,Unknown or Invalid Region,738
Conservative Ammo,Questionable Sources,Low,United States,0
Conservative Army,Questionable Sources,Low,Unknown or Invalid Region,"1,840"
Conservative Byte,Questionable Sources,Low,United States,"93,745"
Conservative Daily Post,Questionable Sources,Low,Unknown or Invalid Region,"59,158"
Conservative Fighters,Questionable Sources,Low,United States,"28,165"
Conservative Firing Line,Questionable Sources,Mixed,United States,"92,912"
Conservative Flash News,Questionable Sources,Low,Unknown or Invalid Region,52
Conservative Free Press,Questionable Sources,Low,United States,"2,513"
Conservative Info Corner,Questionable Sources,Low,Unknown or Invalid Region,33
Conservative Media,Questionable Sources,Low,United States,"22,702"
Conservative Movement,Questionable Sources,Low,Unknown or Invalid Region,7
Conservative Nation,Questionable Sources,Low,United States,"7,298"
Conservative Patriot,Questionable Sources,Low,Unknown or Invalid Region,337
Conservative Politics Today,Questionable Sources,Low,United States,4
Conservative Politicus,Questionable Sources,Low,Unknown or Invalid Region,5
Conservative Post,Questionable Sources,Low,United States,"18,226"
Conservative Spirit,Questionable Sources,Low,Unknown or Invalid Region,42
Conservative Tribune,Questionable Sources,Very Low,United States,"377,084"
Conspiracy Inquirer,Questionable Sources,Very Low,United States,4
Constitution Rising,Questionable Sources,Mixed,United States,"32,510"
Council for American-Islamic Relations (CAIR),Questionable Sources,Mixed,United States,"105,614"
Daily Buzz Live,Questionable Sources,Very Low,United States,"6,060"
Daily Headlines,Questionable Sources,Low,Unknown or Invalid Region,"38,428"
Daily InfoBox,Questionable Sources,Very Low,Unknown or Invalid Region,4
Daily Insider News,Questionable Sources,Low,United States,107
Daily Mail,Questionable Sources,Low,United Kingdom,"6,293,579"
Daily Notify,Questionable Sources,Low,Canada,65
Daily Political Newswire,Questionable Sources,Mixed,Unknown or Invalid Region,"2,362"
Daily Presser,Questionable Sources,Low,United States,"1,676"
Daily Star UK,Questionable Sources,Mixed,United Kingdom,"642,527"
Daily Stormer,Questionable Sources,Very Low,United States,"207,386"
Daily USA Update,Questionable Sources,Low,United States,13
Daily World Information,Questionable Sources,Very Low,Unknown or Invalid Region,2
Dam-Reports,Questionable Sources,Very Low,Unknown or Invalid Region,5
David Icke,Conspiracy-Pseudoscience,Very Low,United Kingdom,"1,239,324"
DC Blue Dot,Questionable Sources,Mixed,United States,"3,965"
DC Dirty Laundry,Questionable Sources,Very Low,United States,"202,161"
DC Gazette,Questionable Sources,Low,United States,35
DEBKAfile,Questionable Sources,Mixed,Israel,"729,987"
Deep Left Field,Questionable Sources,Mixed,United States,397
Defend Europa,Questionable Sources,Low,Netherlands,"2,073"
Defiant America,Questionable Sources,Low,United States,"50,833"
Defund.com,Questionable Sources,Low,Unknown or Invalid Region,"4,368"
Democratic Moms,Questionable Sources,Low,Unknown or Invalid Region,"3,883"
Denver Guardian,Questionable Sources,Very Low,United States,182
Departed (Maganews.com),Questionable Sources,Very Low,United States,16
Deplorable Kel,Questionable Sources,Low,United States,149
Deplorable Movement 2020,Questionable Sources,Low,United States,6
Discover the Networks,Questionable Sources,Low,United States,"418,779"
Donald Trump News,Questionable Sources,Very Low,United States,643
Downtrend,Questionable Sources,Low,United States,"34,791"
Draining the Swamp,Questionable Sources,Low,United States,2
Drudge Report,Questionable Sources,Low,United States,"5,523,022"
Eagle Rising,Questionable Sources,Low,United States,"43,752"
EarthNews-Conservative News,Questionable Sources,Mixed,Unknown or Invalid Region,4
Ecology News,Conspiracy-Pseudoscience,Very Low,United States,0
Educate Yourself,Conspiracy-Pseudoscience,Very Low,United States,"65,988"
Embols,Questionable Sources,Low,United States,45
Empire Herald,Questionable Sources,Low,United States,"8,389"
En-volve,Questionable Sources,Very Low,,"67,927"
End the Fed,Questionable Sources,Low,United States,855
Ending the Fed,Questionable Sources,Low,United States,"3,328"
ENH Live,Questionable Sources,Low,Unknown or Invalid Region,"2,898"
Everyday for Gun Safety,Questionable Sources,Mixed,United States,"68,878"
Evil.News,Questionable Sources,Low,United States,0
Experience Awareness (AbcBusinessNews.com),Questionable Sources,Mixed,United States,25
Explain Life,Questionable Sources,Very Low,Unknown or Invalid Region,"2,630"
Exposing Government,Questionable Sources,Low,,173
Fact Checking Turkey,Questionable Sources,Mixed,Turkey,"18,684"
Facts Wanted,Questionable Sources,Mixed,Belize,"8,636"
Family Research Council,Questionable Sources,Low,United States,"268,084"
Fash the Nation,Questionable Sources,Very Low,United States,0
Federalist Nation,Questionable Sources,Low,Unknown or Invalid Region,"2,568"
Flash News Corner,Questionable Sources,Very Low,Unknown or Invalid Region,17
Flex Mag,Questionable Sources,Low,,551
Florida Sun-Post,Questionable Sources,Very Low,United States,16
Focus on the Family,Questionable Sources,Low,United States,"429,975"
For the Right News,Questionable Sources,Low,United States,0
France24-tv.com,Questionable Sources,Very Low,France,102
Freakout Nation,Questionable Sources,Low,Unknown or Invalid Region,"33,297"
Free Patriot Post,Questionable Sources,Low,Unknown or Invalid Region,262
PoliticsOnline.net,Questionable Sources,Low,Unknown or Invalid Region,37
Freedom Daily,Questionable Sources,Low,Unknown or Invalid Region,"2,368"
Freedom News Report,Questionable Sources,Mixed,United States,713
Freedom's Final Stand,Questionable Sources,Low,Unknown or Invalid Region,133
Fresh News USA,Questionable Sources,Low,United States,39
FrontPage Magazine,Questionable Sources,Low,United States,"1,802,704"
Fury News,Questionable Sources,Very Low,Unknown or Invalid Region,"2,562"
FWD Now,Questionable Sources,Mixed,United States,207
Gatestone Institute,Questionable Sources,Mixed,United States,"474,478"
Geller Report,Questionable Sources,Low,United States,"355,909"
Geology In,Questionable Sources,Mixed,United States,"5,315"
Girls Just Wanna Have guns,Questionable Sources,Low,United States,"119,306"
Global Info Today,Questionable Sources,Low,,171
Global Politics Now,Questionable Sources,Low,Unknown or Invalid Region,171
Global Times,Questionable Sources,Mixed,China,"4,052,455"
Globe Magazine,Questionable Sources,Very Low,Canada,"7,377"
Gnews,Questionable Sources,Low,United States,0
GOD Good Lord Above,Questionable Sources,Mixed,United States,"1,097"
Godfather Politics,Questionable Sources,Mixed,United States,"147,171"
Gone Left,Questionable Sources,Low,Unknown or Invalid Region,6
GoodGopher,Questionable Sources,Very Low,United States,"415,339"
GOP.gov,Questionable Sources,Mixed,United States,"86,749"
GOP Watchdog,Questionable Sources,Low,United States,217
GotNews,Questionable Sources,Low,United States,"90,366"
Grain of Truth,Questionable Sources,Very Low,Canada,0
Great American Daily,Questionable Sources,Low,United States,0
Great American Republic,Questionable Sources,Low,United States,"63,777"
Grunge.com,Questionable Sources,Mixed,United States,
Hang The Bankers,Questionable Sources,Low,United States,"174,565"
Hard News,Questionable Sources,Mixed,United States,"1,181"
Hawar News Agancy,Questionable Sources,Low,Syria,"4,643"
Head Topics,Questionable Sources,Mixed,Unknown or Invalid Region,0
Healing Oracle,Conspiracy-Pseudoscience,Very Low,Unknown or Invalid Region,"7,126"
Health Nut News,Conspiracy-Pseudoscience,Very Low,United States,"17,513"
Heartland Institute,Questionable Sources,Low,United States,"183,731"
Hogg Watch,Questionable Sources,Low,United States,95
I Hate the Media,Questionable Sources,Low,United States,"202,929"
"I, Hypocrite",Questionable Sources,Mixed,United States,751
I love my Freedom,Questionable Sources,Very Low,United States,"14,243"
Identity Evropa,Questionable Sources,Very Low,United States,"8,457"
If You Only News,Questionable Sources,Very Low,United States,"130,778"
Illegal Alien Crime Report,Questionable Sources,Mixed,United States,"35,178"
Illicit Info,Questionable Sources,Low,United States,"41,948"
IMOwired,Questionable Sources,Very Low,United States,"1,824"
InfoGalactic,Questionable Sources,Low,United States,"22,585"
Information Liberation,Questionable Sources,Low,United States,"671,366"
Informed Owners,Questionable Sources,Very Low,Unknown or Invalid Region,168
InfoScum,Questionable Sources,Mixed,Canada,"48,742"
Infowars,Conspiracy-Pseudoscience,Very Low,United States,"5,200,579"
Institute for Historical Review (IHR),Questionable Sources,Very Low,United States,"50,347"
International Organization for the Family (IOF),Questionable Sources,Low,United States,"24,105"
Israel Video Network,Questionable Sources,Mixed,Israel,"17,108"
Itag Live,Questionable Sources,Very Low,United States,42
Jew Watch,Questionable Sources,Low,United States,"36,011"
Joe for America,Questionable Sources,Low,United States,"154,832"
Jones Report,Conspiracy-Pseudoscience,Very Low,United States,"13,467"
Jookos News,Questionable Sources,Low,Unknown or Invalid Region,"1,214"
Judicial Watch,Questionable Sources,Low,United States,"466,469"
Just the Facts,Questionable Sources,Mixed,United States,"2,924"
Knights Templar International,Questionable Sources,Low,United States,"7,399"
Lady Liberty News,Questionable Sources,Low,,929
LearnTheRisk.org,Conspiracy-Pseudoscience,Very Low,United States,"4,653"
Left Action,Questionable Sources,Low,United States,"6,133"
Left Exposed,Questionable Sources,Low,United States,"64,292"
Lew Rockwell,Questionable Sources,Mixed,United States,"2,405,217"
Liberal Speak,Questionable Sources,Mixed,United States,"2,274"
Liberty Alliance,Questionable Sources,Mixed,United States,"3,904"
Liberty Brief,Questionable Sources,Low,United States,19
Liberty Courier,Questionable Sources,Low,United States,4
Liberty is Viral,Questionable Sources,Low,United States,"18,134"
London Web News,Questionable Sources,Low,United Kingdom,430
LoonWatch,Questionable Sources,Low,United States,"159,626"
Loser.com,Questionable Sources,Mixed,United States,"2,243"
Lucianne.com,Questionable Sources,Mixed,United States,"1,502,568"
Mad American Network,Questionable Sources,Low,,34
Mad World News,Questionable Sources,Low,United States,"48,121"
MAGA Daily Report,Questionable Sources,Mixed,United States,"1,782"
MagaPill,Questionable Sources,Mixed,United States,"25,689"
MartinLutherKing.org,Questionable Sources,Very Low,United States,"1,123,150"
MBGA - Make Britain Great Again,Questionable Sources,Low,United Kingdom,39
Media Zone,Questionable Sources,Low,,1
Mehr News Agency,Questionable Sources,Mixed,Iran,"366,352"
Metapedia,Questionable Sources,Low,United States,"1,000"
Middle American Democrat,Questionable Sources,Mixed,United States,5
Middle East Forum,Questionable Sources,Low,United States,"234,182"
Middle East Media Research Institute (Memri),Questionable Sources,Mixed,United States,"773,844"
Mixi.Media,Questionable Sources,Low,,"1,513,790"
Molon Labe Media,Questionable Sources,Low,United States,"1,963"
MoonBattery,Questionable Sources,Low,United States,"1,029,684"
MoveOn,Questionable Sources,Mixed,United States,"607,189"
Moving Left,Questionable Sources,Low,United States,34
Mr. Conservative (MRC),Questionable Sources,Low,United States,"32,143"
MSMLies.com,Questionable Sources,Mixed,Unknown or Invalid Region,0
My Right American,Questionable Sources,Low,,213
My Zone Today,Questionable Sources,Mixed,Unknown or Invalid Region,5
Nation45,Questionable Sources,Very Low,Canada,379
National Alliance,Questionable Sources,Very Low,United States,"93,482"
National Economics Editorial,Questionable Sources,Low,United States,109
National Enquirer,Questionable Sources,Low,United States,"596,961"
National Rifle Association,Questionable Sources,Mixed,United States,"4,506,998"
National Vanguard,Questionable Sources,Very Low,United States,"89,227"
Native American News,Questionable Sources,Very Low,Unknown or Invalid Region,5
Native Americans,Questionable Sources,Very Low,Ukraine,10
Natural News,Conspiracy-Pseudoscience,Very Low,United States,"1,055,353"
NeverRepublican.com,Questionable Sources,Low,,329
Nevo News,Questionable Sources,Low,Unknown or Invalid Region,51
New Century Times,Questionable Sources,Low,Unknown or Invalid Region,"5,293"
New Nation News,Questionable Sources,Very Low,United States,"281,728"
New Politics Today,Questionable Sources,Low,United States,"2,572"
News Blaze,Questionable Sources,Mixed,,"127,443"
News Conservative,Questionable Sources,Very Low,Unknown or Invalid Region,4
News Feed Hunter,Questionable Sources,Low,Unknown or Invalid Region,65
News Procession,Questionable Sources,Mixed,Unknown or Invalid Region,273
News Punch,Questionable Sources,Very Low,United States,"78,030"
News and Stories from USA,Questionable Sources,Low,Unknown or Invalid Region,288
News Up Today,Questionable Sources,Low,China,32
News with Views,Questionable Sources,Low,,"266,582"
NewsAmmo,Questionable Sources,Mixed,United States,"4,177"
NewsBreaksHere,Questionable Sources,Low,,196
Newsner,Questionable Sources,Very Low,Sweden,"82,170"
Newsservis.com,Questionable Sources,Very Low,Unknown or Invalid Region,0
NewsWars,Questionable Sources,Low,United States,"76,601"
NMWS.us,Questionable Sources,Low,,13
Nos Comunicamos,Questionable Sources,Low,,87
Oath Keepers,Questionable Sources,Low,United States,"124,341"
Occupy Democrats,Questionable Sources,Low,United States,"40,318"
Online Conservative Press,Questionable Sources,Low,,15
Open Magazines,Questionable Sources,Very Low,Macedonia,"1,672"
Opposition Report,Questionable Sources,Mixed,,"9,798"
Overpasses for America,Questionable Sources,Low,United States,"2,463"
Pacific Pundit,Questionable Sources,Low,United States,"87,084"
Pants on Fire News,Questionable Sources,Low,United States,0
Patribotics Blog,Questionable Sources,Low,,"9,544"
Patriot Beacon,Questionable Sources,Low,,6
Patriot Beat,Questionable Sources,Mixed,,"5,600"
Patriot Fires,Questionable Sources,Low,,"1,691"
Patriot Journal,Questionable Sources,Mixed,,"6,345"
Patriot Update,Questionable Sources,Low,,"224,331"
Patriotic Express,Questionable Sources,Low,,"3,233"
Patriotic Viral News,Questionable Sources,Low,,"3,381"
Patriots Voice,Questionable Sources,Low,Unknown or Invalid Region,33
PC Must Die News,Questionable Sources,Low,United States,0
Personal Liberty,Questionable Sources,Low,United States,"142,960"
PJ Media,Questionable Sources,Mixed,United States,"2,277,048"
Plymouth Patriot Post,Questionable Sources,Low,United States,"2,130"
PM Nightly News,Questionable Sources,Low,United States,36
Police Times,Questionable Sources,Low,,24
Political Ears,Questionable Sources,Low,,53
Political Flare,Questionable Sources,Low,United States,83
Political Inbox,Questionable Sources,Low,,9
Political Insider,Questionable Sources,Mixed,United States,"29,664"
Political Mayhem News,Questionable Sources,Low,,"3,720"
Political Site News,Questionable Sources,Low,Unknown or Invalid Region,"40,978"
Political State,Questionable Sources,Mixed,United States,641
Politico Info,Questionable Sources,Low,Unknown or Invalid Region,71
Politics Live,Questionable Sources,Very Low,Unknown or Invalid Region,7
Poltifact News,Questionable Sources,Low,,120
Population Research Institute,Questionable Sources,Low,United States,0
Powdered Wig Society,Questionable Sources,Low,United States,"29,597"
PragerU,Questionable Sources,Low,United States,"115,631"
President 45 Donald Trump,Questionable Sources,Low,,"6,903"
Press TV,Questionable Sources,Low,Iran,"6,199,012"
Prideof-america.org (American News),Questionable Sources,Low,,77
Prntly,Questionable Sources,Low,Unknown or Invalid Region,"1,437"
Pro Trump News,Questionable Sources,Low,Unknown or Invalid Region,0
Progress Tribune,Questionable Sources,Mixed,United States,34
Progressives Today,Questionable Sources,Low,United States,"46,006"
Project Purge,Questionable Sources,Low,,100
Proud Leader,Questionable Sources,Low,,995
Puppet String News,Questionable Sources,Low,,"16,565"
QAnon.pub,Conspiracy-Pseudoscience,Very Low,United States,"105,298"
Quillette,Questionable Sources,Mixed,Australia,"350,196"
Raw Conservative Opinions,Questionable Sources,Mixed,United States,0
React365,Questionable Sources,Very Low,United States,"211,049"
Read Conservatives,Questionable Sources,Low,,132
Reagan Coalition,Questionable Sources,Low,,"11,456"
Real Time Politics,Questionable Sources,Low,,540
Red Blue Divide,Questionable Sources,Mixed,United States,0
Red Country - Conservative News,Questionable Sources,Low,,33
Red Ice TV,Questionable Sources,Low,Sweden,"551,400"
Red Info,Questionable Sources,Very Low,Macedonia,7
Red People,Questionable Sources,Very Low,Macedonia,7
Red Politics,Questionable Sources,Low,,4
Qpolitical,Questionable Sources,Mixed,United States,75
Red Rock Tribune,Questionable Sources,Low,United States,16
Red State Pundit,Questionable Sources,Low,Unknown or Invalid Region,"1,071"
Red State Watcher,Questionable Sources,Low,,"116,172"
"Red, White and Right",Questionable Sources,Low,,"3,331"
RedStateWave,Questionable Sources,Low,,41
Reed Cooper News,Questionable Sources,Low,United States,"3,271"
Renew America,Questionable Sources,Low,United States,"954,240"
Return of Kings,Questionable Sources,Low,,"287,316"
Right Alerts,Questionable Sources,Low,,"5,506"
Right Smarts,Questionable Sources,Mixed,,570
Right Wing News (rightwing.news),Questionable Sources,Low,,"18,558"
Right Side News,Questionable Sources,Low,,"2,109,646"
RINF,Questionable Sources,Low,,"159,126"
RT News,Questionable Sources,Very Low,Russia,"4,385,211"
Russia Insider,Questionable Sources,Low,Russia,"50,634"
Russian News Agency-TASS,Questionable Sources,Mixed,Russia,"1,477,814"
Ruth Institute,Questionable Sources,Mixed,United States,"62,133"
Santa Monica Observer,Questionable Sources,Low,United States,"47,171"
Shared News Report,Questionable Sources,Low,Unknown or Invalid Region,7
Sharia Watch UK,Questionable Sources,Very Low,,"11,705"
SHTFplan.com,Questionable Sources,Mixed,,"631,148"
Sick Chirpse,Questionable Sources,Very Low,,"201,647"
Smoloko,Questionable Sources,Very Low,,"57,724"
Sons of 1776,Questionable Sources,Low,United States,0
South Africa Today,Questionable Sources,Mixed,South Africa,"48,795"
Right Wing News,Questionable Sources,Low,United States,1
Speisa,Questionable Sources,Low,,"42,975"
Sputnik,Questionable Sources,Very Low,Russia,"2,957,272"
Squawker,Questionable Sources,Low,United States,"11,723"
Stares at the World,Questionable Sources,Low,United States,"63,688"
State Fort,Questionable Sources,Very Low,Macedonia,"2,339"
State of the Nation 2012,Questionable Sources,Low,United States,"53,781"
Steadfast and Loyal,Questionable Sources,Low,United States,"16,610"
Stone Cold Truth,Questionable Sources,Low,,"29,850"
Strategic Culture Foundation,Questionable Sources,Very Low,Russia,"660,234"
Studio News Network,Questionable Sources,Mixed,,"1,410"
Subject Politics,Questionable Sources,Low,,93
Sunday Inquirer,Questionable Sources,Very Low,,27
Sure News,Questionable Sources,Low,,"19,566"
SurvivalBlog.com,Questionable Sources,Low,United States,"550,675"
Svijmedia.com,Questionable Sources,Low,,4
SwampDrain.com,Questionable Sources,Low,,998
Swarajya,Questionable Sources,Low,India,"113,883"
Taki's Magazine,Questionable Sources,Low,United States,"704,477"
TashNews,Questionable Sources,Low,Unknown or Invalid Region,109
Tasnim News Agency,Questionable Sources,Mixed,Iran,"4,351,622"
TD Newswire,Questionable Sources,Very Low,,7
TdtAlliance.com,Questionable Sources,Low,,194
Tea Party Inc.,Questionable Sources,Low,,"142,377"
Teddy Stick,Questionable Sources,Low,,33
The Tehran Times,Questionable Sources,Mixed,Iran,"1,748,697"
Tell Me Now,Questionable Sources,Low,,163
The American Mirror,Questionable Sources,Low,,"15,935"
The Angry Patriot,Questionable Sources,Very Low,,864
The Bearded Patriot,Questionable Sources,Low,United States,0
The Beltway Report,Questionable Sources,Mixed,United States,0
The Conservative Brief,Questionable Sources,Mixed,,"1,506"
The Conservative Papers,Questionable Sources,Mixed,United States,
The DC Clothesline,Questionable Sources,Low,United States,"265,571"
The Daily Bell,Questionable Sources,Low,,"262,561"
The Deplorable Society,Questionable Sources,Low,,77
The Duran,Questionable Sources,Low,Cyprus,"293,064"
The Federalist Papers Project,Questionable Sources,Low,United States,"246,677"
The Federation for American Immigration Reform,Questionable Sources,Low,United States,"119,953"
The Free Patriot,Questionable Sources,Low,,51
The Free Telegraph,Questionable Sources,Mixed,,"1,520"
The Gateway Pundit,Questionable Sources,Low,United States,"1,400,349"
The Goldwater,Questionable Sources,Low,United States,"16,721"
The Horn,Questionable Sources,Low,United States,"28,518"
The LA Post,Questionable Sources,Low,United States,319
The Last Resistance,Questionable Sources,Low,United States,"8,811"
The Laugh Club,Questionable Sources,Low,Sweden,0
The Liberty Daily,Questionable Sources,Mixed,United States,"204,205"
The Liberty Eagle,Questionable Sources,Mixed,,119
The Millennium Report,Questionable Sources,Low,United States,"36,142"
The National Patriot,Questionable Sources,Low,,"36,543"
The National Pulse,Questionable Sources,Low,,80
The News Guru,Questionable Sources,Low,,176
The Other 98%,Questionable Sources,Low,United States,"37,847"
The Peoples Truth,Questionable Sources,Low,,644
The Political Tribune,Questionable Sources,Low,Unknown or Invalid Region,17
The Politics Online,Questionable Sources,Low,Unknown or Invalid Region,0
The Premium News,Questionable Sources,Low,,20
The Proud Conservative,Questionable Sources,Low,,31
The Proud Liberal,Questionable Sources,Mixed,,"1,473"
The Religion of Peace,Questionable Sources,Low,,"2,217,238"
The Remnant Newspaper,Questionable Sources,Low,,"20,372"
The Right Stuff,Questionable Sources,Very Low,United States,"52,223"
The Rightists,Questionable Sources,Low,,282
The Times of America,Questionable Sources,Low,,46
The Trump Media,Questionable Sources,Low,Unknown or Invalid Region,4
The Truth Division,Questionable Sources,Low,,"3,966"
The Union Journal,Questionable Sources,Low,Unknown or Invalid Region,0
The Unz Review,Questionable Sources,Low,United States,"548,189"
The US Patriot,Questionable Sources,Low,,"1,061"
The USA Conservative,Questionable Sources,Low,,4
The Washington Feed,Questionable Sources,Mixed,United States,"24,407"
The Washington Reporter,Questionable Sources,Mixed,United States,673
The Washington Sentinel,Questionable Sources,Mixed,United States,"90,741"
ThePoliticalBrief.com,Questionable Sources,Very Low,Unknown or Invalid Region,0
Think Americana,Questionable Sources,Low,,"19,482"
Today Breaking News,Questionable Sources,Low,Panama,2
TooFab,Questionable Sources,Mixed,United States,
Top Right News,Questionable Sources,Low,,"4,525"
Top Topic,Questionable Sources,Low,,0
TPL News,Questionable Sources,Mixed,United States,"1,285"
Trigger Reset,Questionable Sources,Low,,"50,609"
Center for Immigration Studies,Questionable Sources,Low,United States,"87,933"
True Blue Scoop,Questionable Sources,Low,United States,1
True Viral News,Questionable Sources,Low,Russia,"459,252"
Trump.News,Questionable Sources,Low,United States,"10,786"
Trump Train News,Questionable Sources,Mixed,United States,0
Trumpservative News,Questionable Sources,Low,,175
Truth and Action,Questionable Sources,Low,United States,"30,750"
True Activist,Questionable Sources,Low,Germany,"2,687"
Truth in Media,Questionable Sources,Low,,"140,162"
Truth Monitor,Questionable Sources,Low,,58
Truth Revolt,Questionable Sources,Low,,"256,086"
Truth Uncensored,Questionable Sources,Low,,"16,313"
Truthfeed,Questionable Sources,Low,United States,"55,854"
Turning Point USA,Questionable Sources,Low,United States,"86,607"
Uncle Sam's Misguided Children,Questionable Sources,Low,United States,"14,420"
Underground Journalist,Questionable Sources,Low,,13
Understanding the threat,Questionable Sources,Low,,"64,046"
Unique Web Magazine,Questionable Sources,Low,,68
US Advisor,Questionable Sources,Low,,"1,145"
US Backlash,Questionable Sources,Very Low,United States,"4,272"
US Chronicle,Questionable Sources,Low,,17
US Herald,Questionable Sources,Low,Unknown or Invalid Region,"10,505"
US Info News,Questionable Sources,Very Low,Macedonia,9
US Journal Review,Questionable Sources,Low,,64
US Liberty Wire,Questionable Sources,Low,Unknown or Invalid Region,"1,560"
US National News,Questionable Sources,Mixed,,"1,289"
