name,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
MAGA Daily Report,https://mediabiasfactcheck.com/maga-daily-report/,Questionable Sources,Mixed,United States,"1,782"
MagaPill,https://mediabiasfactcheck.com/magapill/,Questionable Sources,Mixed,United States,"25,689"
MartinLutherKing.org,https://mediabiasfactcheck.com/martinlutherking-org/,Questionable Sources,Very Low,United States,"1,123,150"
MBGA - Make Britain Great Again,https://mediabiasfactcheck.com/mbga-make-britain-great/,Questionable Sources,Low,United Kingdom,39
Media Zone,https://mediabiasfactcheck.com/media-zone/,Questionable Sources,Low,,1
Mehr News Agency,https://mediabiasfactcheck.com/mehr-news-agency/,Questionable Sources,Mixed,Iran,"366,352"
Metapedia,https://mediabiasfactcheck.com/metapedia/,Questionable Sources,Low,United States,"1,000"
Middle American Democrat,https://mediabiasfactcheck.com/middle-american-democrat-bias-report/,Questionable Sources,Mixed,United States,5
Middle East Forum,https://mediabiasfactcheck.com/middle-east-forum/,Questionable Sources,Low,United States,"234,182"
Middle East Media Research Institute (Memri),https://mediabiasfactcheck.com/middle-east-media-research-institute-memri/,Questionable Sources,Mixed,United States,"773,844"
