name,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
Atlanta Daily World,https://www.allsides.com/news-source/atlanta-daily-world,not-rated,15,17,0.8823529406574394,somewhat disagree
Atlanta Journal-Constitution,https://www.allsides.com/news-source/atlanta-journal-constitution,left-center,850,770,1.1038961038817676,somewhat agree
Atlantic News Telegraph,https://www.allsides.com/news-source/atlantic-news-telegraph,not-rated,46,28,1.6428571422704081,agree
Augusta Chronicle,https://www.allsides.com/news-source/augusta-chronicle,not-rated,6,3,1.9999999933333334,agree
Aurora Sentine,https://www.allsides.com/news-source/aurora-sentine,not-rated,1,26,0.03846153844674556,absolutely disagree
Austin American-Statesman,https://www.allsides.com/news-source/austin-american-statesman,left-center,739,585,1.2632478632262691,somewhat agree
Axios,https://www.allsides.com/news-source/axios,center,1649,1937,0.8513164687617382,somewhat disagree
AZ Central,https://www.allsides.com/news-source/az-central-media-bias,center,87,125,0.69599999994432,somewhat disagree
Babylon Bee,https://www.allsides.com/news-source/babylon-bee-media-bias,not-rated,6,7,0.8571428559183674,somewhat disagree
Bakersfield Californian,https://www.allsides.com/news-source/bakersfield-californian,not-rated,37,56,0.660714285596301,disagree
Baltimore Sun,https://www.allsides.com/news-source/baltimore-sun,not-rated,173,197,0.8781725887879099,somewhat disagree
Bangor Daily News,https://www.allsides.com/news-source/bangor-daily-news-media-bias,not-rated,1,0,100000000.0,absolutely agree
Baptist News Global,https://www.allsides.com/news-source/baptist-news-global,not-rated,58,80,0.724999999909375,somewhat disagree
Barnstable Patriot,https://www.allsides.com/news-source/barnstable-patriot,center,499,579,0.8618307426448734,somewhat disagree
Barren County Progress,https://www.allsides.com/news-source/barren-county-progress,not-rated,12,33,0.3636363635261708,strongly disagree
Bastrop Daily Enterprise,https://www.allsides.com/news-source/bastrop-daily-enterprise,not-rated,19,16,1.1874999992578124,somewhat agree
Batesville Daily Guard,https://www.allsides.com/news-source/batesville-daily-guard,not-rated,16,17,0.941176470034602,somewhat disagree
Battle Creek Enquirer,https://www.allsides.com/news-source/battle-creek-enquirer,not-rated,22,11,1.999999998181818,agree
Baxter Bulletin,https://www.allsides.com/news-source/baxter-bulletin,not-rated,29,31,0.9354838706659729,somewhat disagree
Bay Area Bandwith,https://www.allsides.com/news-source/bay-area-bandwith,not-rated,40,32,1.249999999609375,somewhat agree
Bay City Democrat,https://www.allsides.com/news-source/bay-city-democrat,not-rated,13,19,0.6842105259556787,somewhat disagree
Bay City Times,https://www.allsides.com/news-source/bay-city-times,not-rated,9,25,0.359999999856,strongly disagree
BBC News,https://www.allsides.com/news-source/bbc-news-media-bias,center,14226,13540,1.0506646971927247,somewhat agree
Bearing Drift,https://www.allsides.com/news-source/bearing-drift,right,594,519,1.144508670498179,somewhat agree
Beauregard Daily News,https://www.allsides.com/news-source/beauregard-daily-news,not-rated,7,6,1.1666666647222221,somewhat agree
Belleville Enterprise,https://www.allsides.com/news-source/belleville-enterprise,not-rated,24,11,2.1818181798347105,strongly agree
Belleville View,https://www.allsides.com/news-source/belleville-view,not-rated,18,36,0.4999999998611111,strongly disagree
Bent County Democrat,https://www.allsides.com/news-source/bent-county-democrat,not-rated,51,27,1.8888888881893005,agree
Benton County Daily Record,https://www.allsides.com/news-source/benton-county-daily-record,not-rated,12,11,1.0909090899173552,somewhat agree
Benton Spirit,https://www.allsides.com/news-source/benton-spirit,not-rated,36,12,2.9999999975,strongly agree
Benzie County Record Patriot,https://www.allsides.com/news-source/benzie-county-record-patriot,not-rated,30,37,0.8108108105916727,somewhat disagree
Berrien County Record,https://www.allsides.com/news-source/berrien-county-record,not-rated,34,18,1.888888887839506,agree
Berthoud Weekly Surveyor,https://www.allsides.com/news-source/berthoud-weekly-surveyor,not-rated,24,8,2.9999999962499997,strongly agree
BET,https://www.allsides.com/news-source/bet-media-bias,left-center,70,84,0.8333333332341271,somewhat disagree
Better Angels,https://www.allsides.com/news-source/better-angels-media-bias,allsides,62,55,1.1272727270677685,somewhat agree
Between the Lines,https://www.allsides.com/news-source/between-lines,not-rated,32,18,1.7777777767901233,agree
Big Rapids Pioneer,https://www.allsides.com/news-source/big-rapids-pioneer,not-rated,19,45,0.42222222212839505,strongly disagree
Big Think,https://www.allsides.com/news-source/big-think-media-bias,not-rated,52,66,0.7878787877594123,somewhat disagree
Bipartisan Report,https://www.allsides.com/news-source/bipartisan-report,not-rated,28,29,0.9655172410463734,somewhat disagree
Birmingham Eccentric,https://www.allsides.com/news-source/birmingham-eccentric,not-rated,38,18,2.1111111099382716,strongly agree
Birmingham- Bloomfield Eagle,https://www.allsides.com/news-source/birmingham-bloomfield-eagle,not-rated,32,10,3.1999999968,absolutely agree
Black Mountain News,https://www.allsides.com/news-source/black-mountain-news,not-rated,8,29,0.2758620688703924,absolutely disagree
Blissfield Advance,https://www.allsides.com/news-source/blissfield-advance,not-rated,37,14,2.6428571409693875,strongly agree
Bloomberg,https://www.allsides.com/news-source/bloomberg-media-bias,center,7993,11034,0.7243973173819789,somewhat disagree
Blue Ridge Times-News,https://www.allsides.com/news-source/blue-ridge-times-news,not-rated,28,6,4.6666666588888885,absolutely agree
Blue Virginia,https://www.allsides.com/news-source/blue-virginia,left,705,521,1.353166986538327,somewhat agree
Blytheville Courier-News,https://www.allsides.com/news-source/blytheville-courier-news,not-rated,12,14,0.8571428565306122,somewhat disagree
Boing Boing,https://www.allsides.com/news-source/boing-boing,left,826,548,1.5072992700454872,agree
Boone News Republicab,https://www.allsides.com/news-source/boone-news-republicab,not-rated,22,10,2.1999999978,strongly agree
Bossier Press Tribune,https://www.allsides.com/news-source/bossier-press-tribune,not-rated,6,7,0.8571428559183674,somewhat disagree
Boston Herald,https://www.allsides.com/news-source/boston-herald-media-bias,right-center,359,318,1.1289308175745618,somewhat agree
Boston Herald Editorial,https://www.allsides.com/news-source/boston-herald-editorial-media-bias,right-center,210,198,1.0606060605524945,somewhat agree
Boulder County Business Report,https://www.allsides.com/news-source/boulder-county-business-report,not-rated,7,21,0.3333333331746032,strongly disagree
Boulder Daily Camera,https://www.allsides.com/news-source/boulder-daily-camera,not-rated,27,40,0.67499999983125,somewhat disagree
Boulder Weekly,https://www.allsides.com/news-source/boulder-weekly,not-rated,12,39,0.3076923076134122,absolutely disagree
Bowling Green Daily News,https://www.allsides.com/news-source/bowling-green-daily-news,left-center,556,611,0.9099836333729954,somewhat disagree
Bradenton,https://www.allsides.com/news-source/bradenton,not-rated,24,25,0.959999999616,somewhat disagree
Breitbart News,https://www.allsides.com/news-source/breitbart,right,21148,8652,2.444290337491396,strongly agree
Bridgemi.com,https://www.allsides.com/news-source/bridgemicom-media-bias,center,52,47,1.1063829784880037,somewhat agree
Brighton Banner,https://www.allsides.com/news-source/brighton-banner,not-rated,21,7,2.9999999957142856,strongly agree
Brock Press,https://www.allsides.com/news-source/brock-press,not-rated,50,29,1.7241379304399524,agree
Brooklyn Exponent,https://www.allsides.com/news-source/brooklyn-exponent,not-rated,42,24,1.7499999992708333,agree
Broomfield Enterprise,https://www.allsides.com/news-source/broomfield-enterprise,not-rated,17,25,0.679999999728,somewhat disagree
Brown City Banner,https://www.allsides.com/news-source/brown-city-banner,not-rated,8,23,0.347826086805293,strongly disagree
Brunswick News,https://www.allsides.com/news-source/brunswick-news,not-rated,2,3,0.6666666644444444,disagree
Brush News Tribune,https://www.allsides.com/news-source/brush-news-tribune,not-rated,5,19,0.26315789459833794,absolutely disagree
Bucks County Courier Times,https://www.allsides.com/news-source/bucks-county-courier-times,not-rated,120,56,2.1428571424744898,strongly agree
Burlington Record,https://www.allsides.com/news-source/burlington-record,not-rated,20,7,2.8571428530612244,strongly agree
Burton View,https://www.allsides.com/news-source/burton-view,not-rated,27,18,1.4999999991666666,somewhat agree
Burton View,https://www.allsides.com/news-source/burton-view-0,not-rated,38,16,2.3749999985156247,strongly agree
Business Insider,https://www.allsides.com/news-source/business-insider,center,2221,2809,0.790672837305836,somewhat disagree
Business Lexington,https://www.allsides.com/news-source/business-lexington,not-rated,22,4,5.49999998625,absolutely agree
Business Update,https://www.allsides.com/news-source/business-update,not-rated,29,13,2.230769229053254,strongly agree
Business Wire,https://www.allsides.com/news-source/business-wire,not-rated,29,45,0.6444444443012346,disagree
Bustle,https://www.allsides.com/news-source/bustle,left-center,747,766,0.9751958224415771,somewhat disagree
BuzzFeed News,https://www.allsides.com/news-source/buzzfeed-media-bias,left,9557,7189,1.3293921268586322,somewhat agree
C&G Newspapers,https://www.allsides.com/news-source/cg-newspapers-media-bias,not-rated,1,0,100000000.0,absolutely agree
C-SPAN,https://www.allsides.com/news-source/c-span,center,2995,928,3.2273706896203946,absolutely agree
Cadillac News,https://www.allsides.com/news-source/cadillac-new,not-rated,10,28,0.3571428570153061,strongly disagree
CalMatters,https://www.allsides.com/news-source/calmatters,center,642,518,1.2393822393583132,somewhat agree
CalWatchdog,https://www.allsides.com/news-source/calwatchdog,center,516,544,0.9485294117472697,somewhat disagree
Canon City Daily Record,https://www.allsides.com/news-source/canon-city-daily-record,not-rated,38,31,1.2258064512174818,somewhat agree
Canton Eagle,https://www.allsides.com/news-source/canton-eagle,not-rated,18,34,0.529411764550173,disagree
Canton Observer,https://www.allsides.com/news-source/canton-observer,not-rated,19,41,0.4634146340333135,strongly disagree
Canyon Courier,https://www.allsides.com/news-source/canyon-courier,not-rated,17,7,2.428571425102041,strongly agree
Capital Gazette,https://www.allsides.com/news-source/capital-gazette,not-rated,53,64,0.8281249998706055,somewhat disagree
Care2,https://www.allsides.com/news-source/care-2,left,567,608,0.9325657894583459,somewhat disagree
Carriage Towne News,https://www.allsides.com/news-source/carriage-towne-news,not-rated,21,16,1.3124999991796875,somewhat agree
Carroll Daily Times Herald,https://www.allsides.com/news-source/carroll-daily-times-herald,not-rated,13,19,0.6842105259556787,somewhat disagree
Cass City Chronicle,https://www.allsides.com/news-source/cass-city-chronicle,not-rated,31,48,0.6458333331987847,disagree
Cassopolis Vigilant,https://www.allsides.com/news-source/cassopolis-vigilant,not-rated,11,16,0.6874999995703125,somewhat disagree
CBC News,https://www.allsides.com/news-source/cbc-news-media-bias,not-rated,44,62,0.7096774192403746,somewhat disagree
CBN,https://www.allsides.com/news-source/cbn,right,6484,3409,1.9020240539691933,agree
CBS News,https://www.allsides.com/news-source/cbs-news-media-bias,left-center,8978,6717,1.3366086050300185,somewhat agree
CBS SFBayArea,https://www.allsides.com/news-source/cbs-sfbayarea,not-rated,66,51,1.294117646805075,somewhat agree
Cedar Rapids Gazette,https://www.allsides.com/news-source/cedar-rapids-gazette,not-rated,2,22,0.09090909086776859,absolutely disagree
Cedar Springs Post,https://www.allsides.com/news-source/cedar-springs-post,not-rated,22,39,0.5641025639579224,disagree
Center - Major Media Sources,https://www.allsides.com/news-source/center-major-media-sources,center,621,540,1.1499999999787036,somewhat agree
Center for Public Integrity,https://www.allsides.com/news-source/center-public-integrity,left-center,653,733,0.8908594815703839,somewhat disagree
Central Michigan Life,https://www.allsides.com/news-source/central-michigan-life,not-rated,12,37,0.32432432423666907,absolutely disagree
Centre View,https://www.allsides.com/news-source/centre-view,left-center,545,612,0.8905228758024424,somewhat disagree
Charles City Press,https://www.allsides.com/news-source/charles-city-press,not-rated,30,24,1.2499999994791666,somewhat agree
Charleston Gazette,https://www.allsides.com/news-source/charleston-gazette,not-rated,2,18,0.1111111110493827,absolutely disagree
Charleston Gazette-Mail,https://www.allsides.com/news-source/charleston-daily-mail,not-rated,19,39,0.48717948705456937,strongly disagree
Charlevoix Courier,https://www.allsides.com/news-source/charlevoix-courier,not-rated,26,11,2.363636361487603,strongly agree
Cheboygan Daily Tribune,https://www.allsides.com/news-source/cheboygan-daily-tribune,not-rated,36,48,0.74999999984375,somewhat disagree
Check Your Fact,https://www.allsides.com/news-source/check-your-fact-media-bias,right-center,41,41,0.9999999997560975,NA
Chelsea Standard,https://www.allsides.com/news-source/chelsea-standard,not-rated,9,15,0.5999999996,disagree
Cherokee Chronicle Times,https://www.allsides.com/news-source/cherokee-chronicle-times,not-rated,10,20,0.49999999975,strongly disagree
Cherokee Skout,https://www.allsides.com/news-source/cherokee-skout,not-rated,18,12,1.49999999875,somewhat agree
Chesaning Tri-County Citizen,https://www.allsides.com/news-source/chesaning-tri-county-citizen,not-rated,15,36,0.41666666655092593,strongly disagree
Chicago Defender,https://www.allsides.com/news-source/chicago-defender-media-bias,left,2,0,200000000.0,absolutely agree
Chicago Sun-Times,https://www.allsides.com/news-source/chicago-sun-times,left-center,734,722,1.0166204986008778,somewhat agree
Chicago Tribune,https://www.allsides.com/news-source/chicago-tribune,center,1878,3353,0.5600954369204888,disagree
Christian Science Monitor,https://www.allsides.com/news-source/christian-science-monitor,center,10384,13393,0.775330396475192,somewhat disagree
Christianity Today,https://www.allsides.com/news-source/christianity-today-media-bias,right-center,68,93,0.731182795620303,somewhat disagree
Circa,https://www.allsides.com/news-source/circa,not-rated,49,30,1.6333333327888888,agree
City Journal,https://www.allsides.com/news-source/city-journal-media-bias,right,315,262,1.2022900762899889,somewhat agree
City Lab,https://www.allsides.com/news-source/city-lab,not-rated,44,77,0.57142857135436,disagree
Civil.Ge,https://www.allsides.com/news-source/civilge,not-rated,68,118,0.5762711863918415,disagree
Clare County Review,https://www.allsides.com/news-source/clare-county-review,not-rated,15,26,0.5769230767011834,disagree
Clarkston News,https://www.allsides.com/news-source/clarkston-news,not-rated,41,25,1.639999999344,agree
Clay County Progress,https://www.allsides.com/news-source/clay-county-progress,not-rated,9,24,0.37499999984375,strongly disagree
Clinton Hearald,https://www.allsides.com/news-source/clinton-hearald,not-rated,3,10,0.29999999969999996,absolutely disagree
Clio Messenger,https://www.allsides.com/news-source/clio-messenger,not-rated,22,21,1.0476190471201814,somewhat agree
CNBC,https://www.allsides.com/news-source/cnbc,center,1809,4400,0.41113636363542927,strongly disagree
CNET,https://www.allsides.com/news-source/cnet,center,252,202,1.247524752413489,somewhat agree
CNN (Web News),https://www.allsides.com/news-source/cnn-media-bias,left-center,30986,32821,0.9440906736537754,somewhat disagree
CNN - Editorial,https://www.allsides.com/news-source/cnn-editorial,left,12293,3327,3.694920348651353,absolutely agree
CNSNews.com,https://www.allsides.com/news-source/cnsnewscom,right,816,696,1.1724137930866032,somewhat agree
Coldwater Daily Reporter,https://www.allsides.com/news-source/coldwater-daily-reporter,not-rated,24,45,0.5333333332148148,disagree
Collegiate Times,https://www.allsides.com/news-source/collegiate-times,not-rated,73,66,1.1060606058930211,somewhat agree
Colorado Springs Business Journal,https://www.allsides.com/news-source/colorado-springs-business-journal,not-rated,16,32,0.49999999984375,strongly disagree
Colorado Springs Gazette,https://www.allsides.com/news-source/colorado-springs-gazette,not-rated,8,25,0.319999999872,absolutely disagree
Colorado Springs Independent,https://www.allsides.com/news-source/colorado-springs-independent,not-rated,28,11,2.5454545431404956,strongly agree
Columbia Journalism Review,https://www.allsides.com/news-source/columbia-journalism-review,center,166,298,0.557046979847079,disagree
Commentary Magazine,https://www.allsides.com/news-source/commentary-magazine-media-bias,right,189,207,0.9130434782167611,somewhat disagree
Commonwealth Journal,https://www.allsides.com/news-source/commonwealth-journal,not-rated,61,51,1.196078431138024,somewhat agree
Concord Monitor,https://www.allsides.com/news-source/concord-monitor,center,14,19,0.7368421048753462,somewhat disagree
Conservative HQ,https://www.allsides.com/news-source/conservative-hq,right,812,378,2.1481481480913187,strongly agree
Conway Daily Sun,https://www.allsides.com/news-source/conway-daily-sun,not-rated,5,10,0.49999999949999996,strongly disagree
Cook Report,https://www.allsides.com/news-source/cook-report,center,866,542,1.5977859778302992,agree
Cordele Dispatch,https://www.allsides.com/news-source/cordele-dispatch-0,not-rated,4,7,0.571428570612245,disagree
Cordele Dispatch,https://www.allsides.com/news-source/cordele-dispatch,not-rated,6,7,0.8571428559183674,somewhat disagree
Cortez Journal,https://www.allsides.com/news-source/cortez-journal,not-rated,9,24,0.37499999984375,strongly disagree
Cosmopolitan,https://www.allsides.com/news-source/cosmopolitan,not-rated,63,59,1.067796609988509,somewhat agree
Council  Bluffs Daily Nonpareil,https://www.allsides.com/news-source/council-bluffs-daily-nonpareil,not-rated,39,25,1.5599999993759999,agree
Counter Currents,https://www.allsides.com/news-source/counter-currents,left-center,335,247,1.3562753035888147,somewhat agree
Counterpointing,https://www.allsides.com/news-source/counterpointing,allsides,371,348,1.0660919539923537,somewhat agree
Covington News,https://www.allsides.com/news-source/covington-news,not-rated,2,6,0.33333333277777777,strongly disagree
Cracked,https://www.allsides.com/news-source/cracked,not-rated,37,55,0.6727272726049587,somewhat disagree
Craig Daily Press,https://www.allsides.com/news-source/craig-daily-press,not-rated,10,23,0.43478260850661626,strongly disagree
Crain's Detroit Business,https://www.allsides.com/news-source/crains-detroit-business,not-rated,20,38,0.5263157893351801,disagree
Creative Loafing - Atlanta,https://www.allsides.com/news-source/creative-loafing-atlanta,not-rated,8,8,0.9999999987499999,NA
Creston News Advertister,https://www.allsides.com/news-source/creston-news-advertister,not-rated,13,6,2.1666666630555556,strongly agree
CrowdPAC,https://www.allsides.com/news-source/crowdpac,center,395,414,0.9541062801701906,somewhat disagree
CU Independent,https://www.allsides.com/news-source/cu-independent,center,346,410,0.8439024390038072,somewhat disagree
Current Affairs,https://www.allsides.com/news-source/current-affairs-media-bias,left,304,139,2.1870503595548882,strongly agree
Daily Beast,https://www.allsides.com/news-source/daily-beast-media-bias,left,9890,4696,2.106047700165873,strongly agree
Daily Camera,https://www.allsides.com/news-source/daily-camera,not-rated,65,36,1.8055555550540123,agree
Daily Cardinal,https://www.allsides.com/news-source/daily-cardinal,center,406,430,0.9441860464896701,somewhat disagree
Daily Kos,https://www.allsides.com/news-source/daily-kos,left,5397,2003,2.6944583125177513,strongly agree
Daily Mail,https://www.allsides.com/news-source/daily-mail,right,4026,2718,1.481236203085058,somewhat agree
Daily Mining Gazette,https://www.allsides.com/news-source/daily-mining-gazette,not-rated,37,42,0.8809523807426304,somewhat disagree
Daily Northwestern,https://www.allsides.com/news-source/daily-northwestern,left-center,369,373,0.9892761393836655,somewhat disagree
Daily Press,https://www.allsides.com/news-source/daily-press,right-center,350,439,0.7972665147882172,somewhat disagree
Daily Progress,https://www.allsides.com/news-source/daily-progress,center,406,396,1.0252525252266351,somewhat agree
Daily Reveille,https://www.allsides.com/news-source/daily-reveille,not-rated,32,44,0.727272727107438,somewhat disagree
Daily Sabah,https://www.allsides.com/news-source/daily-sabah,not-rated,80,74,1.0810810809349891,somewhat agree
Daily Siftings Herald,https://www.allsides.com/news-source/daily-siftings-herald,not-rated,59,105,0.5619047618512472,disagree
Daily Sitka Sentinal,https://www.allsides.com/news-source/daily-sitka-sentinal,not-rated,10,8,1.2499999984374999,somewhat agree
Daily Targum,https://www.allsides.com/news-source/daily-targum,left-center,249,384,0.6484374999831136,disagree
Daily Tarheel,https://www.allsides.com/news-source/daily-tarheel,not-rated,45,43,1.046511627663602,somewhat agree
Dalton Daily Citizen,https://www.allsides.com/news-source/dalton-daily-citizen,not-rated,14,19,0.7368421048753462,somewhat disagree
Davie County Enterprise Record,https://www.allsides.com/news-source/davie-county-enterprise-record,not-rated,29,19,1.52631578867036,agree
Davison Index,https://www.allsides.com/news-source/davison-index,not-rated,5,31,0.16129032252861603,absolutely disagree
Deadline.com,https://www.allsides.com/news-source/deadlinecom,not-rated,108,103,1.048543689218588,somewhat agree
Dearborn Press and Guide,https://www.allsides.com/news-source/dearborn-press-and-guide,not-rated,36,13,2.7692307671005914,strongly agree
Dearborn Times-Herald,https://www.allsides.com/news-source/dearborn-times-herald,not-rated,17,42,0.40476190466553286,strongly disagree
Defense One,https://www.allsides.com/news-source/defense-one-media-bias,center,230,216,1.0648148147655179,somewhat agree
Delta County Indpendent,https://www.allsides.com/news-source/delta-county-indpendent,not-rated,5,23,0.21739130425330813,absolutely disagree
Delta-Waverly Community News,https://www.allsides.com/news-source/delta-waverly-community-news,not-rated,37,18,2.05555555441358,strongly agree
Democracy Now,https://www.allsides.com/news-source/democracy-now,left,6916,2093,3.304347826071169,absolutely agree
Denver Business Journal,https://www.allsides.com/news-source/denver-business-journal,not-rated,15,25,0.59999999976,disagree
Denver Westword,https://www.allsides.com/news-source/denver-westword,not-rated,33,43,0.7674418602866414,somewhat disagree
Derry News,https://www.allsides.com/news-source/derry-news,not-rated,5,3,1.6666666611111112,agree
Des Moines Register,https://www.allsides.com/news-source/desmoines-register,center,89,105,0.8476190475383221,somewhat disagree
Deseret News,https://www.allsides.com/news-source/deseret-news,right-center,1100,1745,0.6303724928330638,disagree
Detroit Free Press,https://www.allsides.com/news-source/detroit-free-press,left-center,117,184,0.6358695651828331,disagree
Detroit Jewish News,https://www.allsides.com/news-source/detroit-jewish-news,not-rated,21,47,0.44680851054323223,strongly disagree
Detroit Legal News,https://www.allsides.com/news-source/detroit-legal-news,not-rated,11,24,0.4583333331423611,strongly disagree
Detroit Metro Times,https://www.allsides.com/news-source/detroit-metro-times,not-rated,14,34,0.4117647057612457,strongly disagree
Detroit News,https://www.allsides.com/news-source/detroit-news,center,60,98,0.6122448978967098,disagree
Detroit Telegram,https://www.allsides.com/news-source/detroit-telegram,not-rated,8,17,0.470588235017301,strongly disagree
DeWitt Bath Review,https://www.allsides.com/news-source/dewitt-bath-review,not-rated,29,9,3.222222218641975,absolutely agree
Dexter Leader,https://www.allsides.com/news-source/dexter-leader,not-rated,14,23,0.6086956519092628,disagree
Diplomatic Courier,https://www.allsides.com/news-source/diplomatic-courier,center,346,274,1.2627737225816507,somewhat agree
Donaldsonville Chief,https://www.allsides.com/news-source/donaldsonville-chief,not-rated,16,16,0.999999999375,NA
Donalsonville News,https://www.allsides.com/news-source/donalsonville-news,not-rated,6,9,0.6666666659259258,disagree
Douglas County Business Journal,https://www.allsides.com/news-source/douglas-county-business-journal,not-rated,2,19,0.10526315783933518,absolutely disagree
Dowagiac Daily News,https://www.allsides.com/news-source/dowagiac-daily-news,not-rated,25,12,2.0833333315972222,strongly agree
Drudge Report,https://www.allsides.com/news-source/drudge-report,right-center,2027,1378,1.470972423791938,somewhat agree
Duke Chronicle,https://www.allsides.com/news-source/duke-chronicle,center,378,379,0.9973614775462437,somewhat disagree
Duluth News Tribune,https://www.allsides.com/news-source/duluth-news-tribune,not-rated,36,77,0.4675324674717491,strongly disagree
Dundee Independent News,https://www.allsides.com/news-source/dundee-independent-news,not-rated,17,25,0.679999999728,somewhat disagree
Eagle Times,https://www.allsides.com/news-source/eagle-times,not-rated,8,16,0.4999999996875,strongly disagree
Early County News,https://www.allsides.com/news-source/early-county-news,not-rated,1,3,0.3333333322222222,strongly disagree
East Bay Times,https://www.allsides.com/news-source/east-bay-times,not-rated,71,44,1.613636363269628,agree
Eastern Echo,https://www.allsides.com/news-source/eastern-echo-0,not-rated,4,28,0.14285714280612244,absolutely disagree
