name,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
Freedom House,https://www.allsides.com/news-source/freedom-house,right-center,114,163,0.6993865030245775,somewhat disagree
Galen Institute,https://www.allsides.com/news-source/galen-institute-media-bias,not-rated,18,14,1.2857142847959182,somewhat agree
Gell,https://www.allsides.com/news-source/gell-media-bias,allsides,66,44,1.499999999659091,somewhat agree
GOP.gov,https://www.allsides.com/news-source/gopgov,right,449,222,2.0225225224314176,strongly agree
Healthcare.gov,https://www.allsides.com/news-source/healthcaregov,left-center,228,409,0.5574572127003067,disagree
Independent Institute,https://www.allsides.com/news-source/independent-institute,right-center,209,255,0.8196078431051134,somewhat disagree
Manhattan Institute,https://www.allsides.com/news-source/manhattan-institute,right-center,190,276,0.6884057970765071,somewhat disagree
National Committee to Preserve Social Security and Medicare,https://www.allsides.com/news-source/national-committee-preserve-social-security-and-medicare,left,226,218,1.0366972476588672,somewhat agree
National Interest,https://www.allsides.com/news-source/national-interest,center,181,263,0.6882129277304861,somewhat disagree
National Press Foundation,https://www.allsides.com/news-source/natonal-press-foundation,not-rated,58,64,0.9062499998583985,somewhat disagree
New Economy Working Group,https://www.allsides.com/news-source/new-economy-working-group,left-center,109,80,1.3624999998296876,somewhat agree
No Labels,https://www.allsides.com/news-source/no-labels,center,111,96,1.1562499998795575,somewhat agree
OpenSecrets.org,https://www.allsides.com/news-source/opensecretsorg,center,478,361,1.324099722955011,somewhat agree
Pacific Research Institute,https://www.allsides.com/news-source/pacific-research-institute,right,165,179,0.9217877094457101,somewhat disagree
People for the American Way,https://www.allsides.com/news-source/people-american-way,left,213,139,1.5323741006091816,agree
Physicians for a National Health Program,https://www.allsides.com/news-source/physicians-national-health-program,left,159,112,1.4196428570161035,somewhat agree
Prager University,https://www.allsides.com/news-source/prager-university,right,1927,525,3.6704761904062764,absolutely agree
Princeton University Press Blog,https://www.allsides.com/news-source/princeton-university-press-blog,not-rated,72,49,1.4693877548021657,somewhat agree
Psypost,https://www.allsides.com/news-source/psypost-media-bias,not-rated,30,25,1.19999999952,somewhat agree
RAND Corporation,https://www.allsides.com/news-source/rand-corporation,left-center,428,569,0.7521968365421406,somewhat disagree
Reason Foundation,https://www.allsides.com/news-source/reason-foundation,right-center,142,165,0.8606060605539027,somewhat disagree
redefinED,https://www.allsides.com/news-source/redefined,center,141,78,1.8076923074605524,agree
Student Press Law Center,https://www.allsides.com/news-source/student-press-law-center-media-bias,not-rated,26,29,0.8965517238287752,somewhat disagree
Students Matter,https://www.allsides.com/news-source/students-matter,not-rated,1,3,0.3333333322222222,strongly disagree
TED,https://www.allsides.com/news-source/ted,not-rated,184,155,1.1870967741169614,somewhat agree
The Heritage Foundation,https://www.allsides.com/news-source/heritage-foundation,right-center,2435,1403,1.735566642895684,agree
USAPP,https://www.allsides.com/news-source/usapp,not-rated,143,119,1.201680672167926,somewhat agree
Vote Smart,https://www.allsides.com/news-source/vote-smark,center,210,223,0.9417040358322105,somewhat disagree
Whitehouse.gov,https://www.allsides.com/news-source/whitehousegov,right-center,443,537,0.8249534450498146,somewhat disagree
World Bank,https://www.allsides.com/news-source/world-bank,not-rated,48,56,0.8571428569897959,somewhat disagree
